leiden,Bundle sheath,Columella root cap,Companion cell,Cortex,Explant vasculature and callus founder cell,Flower meristem,Generative nuclei,Guard cell,Hydathodes,Lateral root cap,Leaf epidermis,Leaf guard cell,Leaf pavement cell,Meristematic cell,Mesophyll,Microspore nuclei,Non-hair,Pericycle,Phloem,Phloem parenchyma,Phloem pole pericycle,Protoxylem,Root cap,Root cortex,Root endodermis,Root epidermis,Root hair,Root procambium,Root stele,Shoot apical meristem,Shoot system epidermis,Sieve element,Sperm nuclei,Stem cell niche,Vascular cambium,Vegetative nuclei,Xylem,Xylem pole pericycle
0,60,118,10,33,59,144,2,2,0,40,1,34,105,5,529,14,203,5,60,153,41,2,204,82,660,0,1,257,1,2,36,54,0,0,90,2,41,0
1,3,13,3,12,17,39,9,4,0,4,0,10,20,1,1913,6,46,0,13,3,0,2,47,162,101,0,7,40,0,0,2,9,0,0,3,0,8,2
2,12,27,1,122,18,5,1,4,0,2,2,1,281,5,125,0,59,1,16,14,2,0,44,770,281,4,0,6,0,0,105,5,0,2,7,0,42,0
3,6,2,9,162,26,16,11,6,0,0,0,2,36,5,1044,2,37,1,66,0,0,0,63,368,17,1,0,3,2,0,7,17,0,0,16,0,5,0
4,8,1,0,39,0,15,11,0,2,1,0,1,9,0,55,2,42,0,35,0,5,0,1,65,31,0,3,4,0,0,4,0,2,0,22,1,0,0
5,0,0,0,0,0,22,0,0,0,11,0,0,0,0,50,0,1,0,12,0,0,0,8,0,28,0,44,8,0,0,0,0,0,0,11,0,1,0
