"Signal","Source","Target","Prob"
"","Epidermal","Epidermal",58.8305126770622
"ABA","Epidermal","Epidermal",1.22807259402795
"BR","Epidermal","Epidermal",2.05624774792633
"Ca2+","Epidermal","Epidermal",9.69787950486479
"chitin","Epidermal","Epidermal",1.09619127169116
"CTK","Epidermal","Epidermal",0.770718781821291
"elf18","Epidermal","Epidermal",0.226274399746732
"ET","Epidermal","Epidermal",0.0238471862791857
"flg22","Epidermal","Epidermal",1.15892484854802
"GA","Epidermal","Epidermal",0.111227948673637
"IAA","Epidermal","Epidermal",0.0234606383169937
"K+","Epidermal","Epidermal",1.35181656864854
"Mg2+","Epidermal","Epidermal",0.0211662942599083
"NO3-","Epidermal","Epidermal",1.23326128283302
"SA","Epidermal","Epidermal",0.0074542932690271
"","Guard","Epidermal",64.0817260508281
"ABA","Guard","Epidermal",1.3648170403253
"BR","Guard","Epidermal",1.95020135911072
"Ca2+","Guard","Epidermal",11.2024088420442
"chitin","Guard","Epidermal",1.50580131456893
"CTK","Guard","Epidermal",0.542722734369881
"elf18","Guard","Epidermal",0
"ET","Guard","Epidermal",0.0629672918359034
"flg22","Guard","Epidermal",1.02146083072312
"GA","Guard","Epidermal",0.0968797134108302
"IAA","Guard","Epidermal",0
"K+","Guard","Epidermal",0.971769984941413
"Mg2+","Guard","Epidermal",0.0472497733409039
"NO3-","Guard","Epidermal",0.547944935647269
"SA","Guard","Epidermal",0.00857450288647544
"","Meristematic","Epidermal",64.9214625308594
"ABA","Meristematic","Epidermal",1.39736704739251
"BR","Meristematic","Epidermal",2.38217472362683
"Ca2+","Meristematic","Epidermal",9.9300574487274
"chitin","Meristematic","Epidermal",1.05522855489264
"CTK","Meristematic","Epidermal",0.708620090806516
"elf18","Meristematic","Epidermal",0.172519163225288
"ET","Meristematic","Epidermal",0.0455552763544944
"flg22","Meristematic","Epidermal",1.11165859650307
"GA","Meristematic","Epidermal",0.0837002351638767
"IAA","Meristematic","Epidermal",0.0406800244628154
"K+","Meristematic","Epidermal",1.002752935932
"Mg2+","Meristematic","Epidermal",0.026935409241022
"NO3-","Meristematic","Epidermal",0.99232804979699
"SA","Meristematic","Epidermal",0.00746015188284987
"","Mesophyll","Epidermal",56.0538946274271
"ABA","Mesophyll","Epidermal",1.12473175146967
"BR","Mesophyll","Epidermal",2.09892708290614
"Ca2+","Mesophyll","Epidermal",9.24548182869181
"chitin","Mesophyll","Epidermal",0.703780683645451
"CTK","Mesophyll","Epidermal",0.697213189208258
"elf18","Mesophyll","Epidermal",0.287297907029285
"ET","Mesophyll","Epidermal",0.0232261309839121
