,CBL1,CBL9,CBL2,CIPK23,CIPK1,CIPK9,CML38,CML42,CML24,CaM7,CaM3,CDPK3,CDPK4,CAX3,NRT2.1,SOS1,ANNAT1,AKT1,AKT2,GORK,KAT1,KAT2,KC1,HSP22.0,TRAF-like
CBL1,1.0,-0.002326939878865174,0.003694535513296569,0.007551146685098305,-0.0006391767328064201,0.004860109655813196,0.004071079025592693,0.0077516846056510285,0.02270830383848666,0.006783532326651087,0.0158321125176173,0.008765523263647709,-0.0011018733965709945,0.0026615494843960385,-0.001579009456275491,0.004697149253965236,0.0074404273893910675,0.009148783228455318,0.015590488749754288,-0.00206171864283484,0.00029415701337488407,0.008866321701990977,-0.002327073076317374,-0.002294920540764147,0.004242510137067229
CBL9,-0.002326939878865174,1.0,0.02477407025986941,0.0054662096315837285,0.014370826491916254,-0.02184858822320878,0.009138063365068946,0.006314946734005083,0.011659049397907085,0.010122448115484977,0.007038616986523459,0.011932277885711842,0.0003375645856438496,0.007885102007692827,-0.0018914826990040863,0.024569663652702568,0.017302584790810163,0.0551182225896267,-0.004808831167483054,-0.005084866718040521,0.02148397028177153,-0.012028145114011153,0.004148976188201814,0.0024749305702072002,0.000643524681495119
CBL2,0.003694535513296569,0.024774070259869413,1.0,0.01772977600922958,0.026162242359882307,0.01696237738268271,0.01313506383457483,0.004741116560887509,0.015721859741127747,0.009990768455584501,0.007543739205851165,0.01792604474561162,0.005630483810249675,0.008339150388362242,0.003703566954267235,0.008338268584967347,0.014029086547079534,0.016622283629923403,0.01737479836060687,-0.003858547383163589,0.0024147046024124252,0.0058250857457316264,0.004288024634139735,0.020698356055131584,0.0041009571676472265
CIPK23,0.007551146685098305,0.0054662096315837285,0.017729776009229585,1.0,0.005833423640206672,0.0034725431371085136,0.005656275233590241,0.008211924968500643,0.0021218646520165265,0.002567666523722615,0.011988792897949333,0.008922331081973408,0.012204298100242343,0.00811719713420476,-0.0010353763844982555,0.003999074197115537,0.02550845583543837,0.015462101595599806,0.008650150937453771,0.0034878478872033304,0.0072657830801385204,0.0020167150506585217,0.01136002727744205,-0.002240106558958192,0.008197941811134838
CIPK1,-0.0006391767328064201,0.014370826491916254,0.026162242359882303,0.005833423640206672,1.0,0.01599841005350088,0.01524508210064299,0.012572589225654525,0.00967865376566055,0.0003346310232350833,0.004356045799139565,0.001852630722893244,0.0034132173743914762,0.009639449660599472,-0.008593015582855003,0.015482739647466442,0.0067787431656886185,0.025820241100979836,0.00423486686466173,-0.003237658204268685,0.023103845743094868,0.008328852772816156,0.019779248832361308,-0.00011969652653749458,-0.0028587782583936153
CIPK9,0.004860109655813195,-0.02184858822320878,0.016962377382682706,0.0034725431371085136,0.01599841005350088,1.0,0.01473133283021877,0.004205603191192658,-0.010937214144956497,-0.0018060070353008778,-0.005906092775175013,0.002354537033924172,0.005972533012244874,0.01900135155393993,-0.004116603435275147,0.006665486020977307,-0.013384531424509996,-0.016116537646806747,0.006428033815152012,0.003287492920006074,-0.009934006942152396,0.02446322997277437,0.02468380985626432,0.005711163080796874,-0.009327272520384275
CML38,0.004071079025592693,0.009138063365068946,0.01313506383457483,0.0056562752335902414,0.01524508210064299,0.01473133283021877,1.0,-0.0016604560055886906,0.014558830155800005,0.002612444291015171,0.010213168872942054,0.007044792824721422,0.003433872958875364,0.011138423148159769,-0.00418910525353202,0.003945685980574066,-0.005932245566186942,0.02139057476377511,0.002869146114091417,-0.004508905303130947,-0.0006315779670650341,-0.0007533840125461836,0.021099560914221563,-0.002727507418255643,0.01070244737959633
CML42,0.007751684605651028,0.0063149467340050825,0.004741116560887509,0.008211924968500643,0.012572589225654528,0.004205603191192658,-0.0016604560055886908,1.0,0.01459640931555953,0.00650555719814663,0.00976318762806497,0.007349206429656263,0.0027270970653226444,-0.006675088706130124,0.0003853583723712963,0.008903587337061217,0.003917516520481228,-0.0006885228367831384,-0.00011899049612732071,0.005823167483464252,-0.002829752084018837,0.0002656915999658872,0.011667133495226177,-0.0014194663299283757,0.002562697124226467
CML24,0.02270830383848666,0.011659049397907085,0.015721859741127747,0.0021218646520165265,0.009678653765660551,-0.010937214144956497,0.014558830155800005,0.014596409315559531,0.9999999999999999,0.0157751332227936,0.010104554511794624,0.023684728798146985,0.004683633532531046,0.007328658090038494,0.007684608226174267,0.012905756728546883,0.009583075476991006,0.03398180989069281,0.01783217739729248,0.01413895047029644,0.004967329756001298,-0.003232060490092435,0.01488774358289517,0.014134665364676745,0.010097539029428048
CaM7,0.006783532326651087,0.010122448115484977,0.009990768455584501,0.002567666523722615,0.0003346310232350833,-0.0018060070353008778,0.0026124442910151705,0.006505557198146629,0.0157751332227936,1.0,0.023005042827735987,0.027489089068123126,0.00878356381968817,-0.0009354916673110064,-0.0015601148691122729,0.002010290018336877,0.04858934328955487,0.010231161268710563,0.00035867982709421607,0.003134856544971723,-0.000810665865651241,0.009008255411301944,-0.0005018608533654473,0.004330865029031765,-0.0030774069548814703
