gene,alias,celltype,mean_expr,pct_expr
AT4G17615,CBL1,Epidermal,0.05851278826594353,2.906462850309364
AT4G17615,CBL1,Mesophyll,0.04637414216995239,2.648475120385233
AT4G17615,CBL1,Stele,0.047750599682331085,2.5235849056603774
AT4G17615,CBL1,Meristematic,0.05251159518957138,3.357142857142857
AT4G17615,CBL1,Guard,0.013677749782800674,1.1235955056179776
AT4G17615,CBL1,ALL,0.05251186341047287,2.800503461296413
AT5G47100,CBL9,Epidermal,0.04810392111539841,2.3709249727031665
AT5G47100,CBL9,Mesophyll,0.044159941375255585,2.4411449973247725
AT5G47100,CBL9,Stele,0.043601684272289276,2.2641509433962264
AT5G47100,CBL9,Meristematic,0.04181162267923355,2.7142857142857144
AT5G47100,CBL9,Guard,0.01216846238821745,1.1235955056179776
AT5G47100,CBL9,ALL,0.04571062698960304,2.4059640799728905
AT5G55990,CBL2,Epidermal,0.053500156849622726,2.6828887849009515
AT5G55990,CBL2,Mesophyll,0.061297379434108734,3.3640984483681113
AT5G55990,CBL2,Stele,0.048995573073625565,2.547169811320755
AT5G55990,CBL2,Meristematic,0.05785313621163368,3.607142857142857
AT5G55990,CBL2,Guard,0.1018943041563034,5.617977528089887
AT5G55990,CBL2,ALL,0.05625903233885765,2.9844604734472577
AT1G30270,CIPK23,Epidermal,0.3038231432437897,14.111163105079811
AT1G30270,CIPK23,Mesophyll,0.23161715269088745,12.332798287854468
AT1G30270,CIPK23,Stele,0.2774776518344879,13.93867924528302
AT1G30270,CIPK23,Meristematic,0.27202415466308594,15.357142857142858
AT1G30270,CIPK23,Guard,0.33260878920555115,20.224719101123593
AT1G30270,CIPK23,ALL,0.27289408445358276,13.547465750108923
AT3G17510,CIPK1,Epidermal,0.46207424998283386,21.177143451359644
AT3G17510,CIPK1,Mesophyll,0.42102718353271484,20.846709470304976
AT3G17510,CIPK1,Stele,0.40197983384132385,19.81132075471698
AT3G17510,CIPK1,Meristematic,0.4163104295730591,22.892857142857142
AT3G17510,CIPK1,Guard,0.3376217782497406,17.97752808988764
AT3G17510,CIPK1,ALL,0.43768173456192017,21.026770586241952
AT1G01140,CIPK9,Epidermal,0.38103562593460083,18.03670774190194
AT1G01140,CIPK9,Mesophyll,0.480010449886322,23.187533440342428
AT1G01140,CIPK9,Stele,0.3973809480667114,19.882075471698112
AT1G01140,CIPK9,Meristematic,0.3907388746738434,21.107142857142858
AT1G01140,CIPK9,Guard,0.3406238853931427,16.853932584269664
AT1G01140,CIPK9,ALL,0.4191037714481354,20.295783511642544
AT1G76650,CML38,Epidermal,0.011387748643755913,0.5719336556959392
AT1G76650,CML38,Mesophyll,0.01756937801837921,1.0232744783306582
AT1G76650,CML38,Stele,0.014197077602148056,0.8018867924528302
AT1G76650,CML38,Meristematic,0.03392010182142258,1.9285714285714284
AT1G76650,CML38,Guard,0.0,0.0
AT1G76650,CML38,ALL,0.01541583426296711,0.8495909376966646
AT4G20780,CML42,Epidermal,0.017267273738980293,0.8579004835439089
AT4G20780,CML42,Mesophyll,0.011302183382213116,0.6955591225254146
AT4G20780,CML42,Stele,0.012576653622090816,0.6603773584905661
AT4G20780,CML42,Meristematic,0.01649571768939495,1.107142857142857
AT4G20780,CML42,Guard,0.0,0.0
AT4G20780,CML42,ALL,0.014537559822201729,0.7939197366510142
AT5G37770,CML24,Epidermal,0.07776979357004166,3.878750064992461
AT5G37770,CML24,Mesophyll,0.0624457411468029,3.584804708400214
AT5G37770,CML24,Stele,0.06428212672472,3.4669811320754715
AT5G37770,CML24,Meristematic,0.11979569494724274,6.821428571428571
AT5G37770,CML24,Guard,0.06831374019384384,4.49438202247191
AT5G37770,CML24,ALL,0.0736675038933754,3.930870891223314
AT3G43810,CaM7,Epidermal,0.070554219186306,3.4991940934851558
AT3G43810,CaM7,Mesophyll,0.08120238035917282,4.434189406099518
AT3G43810,CaM7,Stele,0.07246847450733185,3.75
AT3G43810,CaM7,Meristematic,0.08266609162092209,5.035714285714286
AT3G43810,CaM7,Guard,0.046647679060697556,2.247191011235955
AT3G43810,CaM7,ALL,0.07537373155355453,3.9647577092511015
AT3G56800,CaM3,Epidermal,0.08070028573274612,3.9099464462122397
AT3G56800,CaM3,Mesophyll,0.09888717532157898,5.350454788657036
AT3G56800,CaM3,Stele,0.06642089039087296,3.3962264150943398
AT3G56800,CaM3,Meristematic,0.0888563022017479,5.321428571428571
AT3G56800,CaM3,Guard,0.10618848353624344,5.617977528089887
AT3G56800,CaM3,ALL,0.08642451465129852,4.477900953671879
AT4G23650,CDPK3,Epidermal,0.14362306892871857,7.065980346279832
AT4G23650,CDPK3,Mesophyll,0.14250141382217407,7.825040128410915
AT4G23650,CDPK3,Stele,0.13662101328372955,7.099056603773585
