"held_out_study","repeat_n","auc","sensitivity","specificity","n_test","n_features_selected"
"OSD-37",1,0.843112244897959,0.964285714285714,0.607142857142857,56,144
"OSD-37",2,0.793367346938776,0.678571428571429,0.785714285714286,56,169
"OSD-37",3,0.946428571428571,0.821428571428571,0.964285714285714,56,151
"OSD-37",4,0.793367346938776,0.892857142857143,0.607142857142857,56,134
"OSD-37",5,0.900510204081633,0.964285714285714,0.678571428571429,56,131
"OSD-37",6,0.896683673469388,0.928571428571429,0.75,56,137
"OSD-37",7,0.864795918367347,0.642857142857143,0.964285714285714,56,151
"OSD-37",8,0.913265306122449,1,0.642857142857143,56,140
"OSD-37",9,0.883928571428571,0.75,0.892857142857143,56,140
"OSD-37",10,0.915816326530612,1,0.678571428571429,56,152
"OSD-120",1,0.472222222222222,0.833333333333333,0.333333333333333,24,104
"OSD-120",2,0.506944444444444,0.333333333333333,0.833333333333333,24,47
"OSD-120",3,0.652777777777778,0.666666666666667,0.666666666666667,24,74
"OSD-120",4,0.590277777777778,0.75,0.5,24,127
"OSD-120",5,0.576388888888889,0.333333333333333,0.916666666666667,24,71
"OSD-120",6,0.458333333333333,0.583333333333333,0.583333333333333,24,102
"OSD-120",7,0.520833333333333,1,0.166666666666667,24,85
"OSD-120",8,0.569444444444444,0.666666666666667,0.583333333333333,24,127
"OSD-120",9,0.548611111111111,0.583333333333333,0.666666666666667,24,98
"OSD-120",10,0.548611111111111,0.833333333333333,0.5,24,135
"OSD-624",1,0.558641975308642,1,0.166666666666667,36,135
"OSD-624",2,0.567901234567901,1,0.222222222222222,36,138
"OSD-624",3,0.574074074074074,1,0.222222222222222,36,138
"OSD-624",4,0.524691358024691,0.5,0.777777777777778,36,132
"OSD-624",5,0.530864197530864,1,0.222222222222222,36,140
"OSD-624",6,0.524691358024691,1,0.222222222222222,36,145
"OSD-624",7,0.604938271604938,0.333333333333333,0.944444444444444,36,141
"OSD-624",8,0.533950617283951,0.944444444444444,0.222222222222222,36,136
"OSD-624",9,0.441358024691358,0.666666666666667,0.388888888888889,36,144
"OSD-624",10,0.422839506172839,0.444444444444444,0.722222222222222,36,129
"OSD-678",1,0.930555555555556,1,0.833333333333333,24,130
"OSD-678",2,0.909722222222222,0.916666666666667,0.916666666666667,24,147
"OSD-678",3,0.847222222222222,0.833333333333333,0.833333333333333,24,89
"OSD-678",4,0.888888888888889,1,0.75,24,112
"OSD-678",5,0.888888888888889,1,0.833333333333333,24,151
"OSD-678",6,0.875,0.916666666666667,0.75,24,142
"OSD-678",7,0.868055555555556,1,0.666666666666667,24,122
"OSD-678",8,0.895833333333333,1,0.75,24,97
"OSD-678",9,0.888888888888889,0.916666666666667,0.833333333333333,24,153
"OSD-678",10,0.875,1,0.75,24,132
"OSD-38",1,0.888888888888889,1,0.666666666666667,6,148
"OSD-38",2,0.888888888888889,1,0.666666666666667,6,154
"OSD-38",3,1,1,1,6,142
"OSD-38",4,0.777777777777778,1,0.666666666666667,6,175
"OSD-38",5,0.777777777777778,1,0.666666666666667,6,158
"OSD-38",6,1,1,1,6,102
"OSD-38",7,1,1,1,6,163
"OSD-38",8,1,1,1,6,128
"OSD-38",9,1,1,1,6,87
"OSD-38",10,1,1,1,6,100
"OSD-321",1,0.84,1,0.8,10,152
"OSD-321",2,0.64,0.6,0.8,10,148
"OSD-321",3,0.52,0.8,0.6,10,134
"OSD-321",4,0.72,1,0.4,10,140
"OSD-321",5,0.44,0.6,0.6,10,117
"OSD-321",6,0.76,0.6,1,10,152
"OSD-321",7,0.4,0.6,0.6,10,159
"OSD-321",8,0.76,1,0.6,10,131
"OSD-321",9,0.72,1,0.4,10,133
"OSD-321",10,0.56,0.8,0.4,10,127
