group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,AT4G16990,-21.819748,-1.2931205,1.5069062094780523e-105,3.371702643707142e-101,0.4183606557377049,0.6534254461715602
1,AT1G55670,12.49164,1.0187571,8.292677358374913e-36,9.765718731244141e-33,0.47619047619047616,0.3247099613281771
1,AT3G16640,10.366627,1.0565739,3.517221551967122e-25,1.9194593225674236e-22,0.3349339735894358,0.20056007467662354
2,AT5G40450,34.894966,1.2604944,8.863080773170156e-267,1.9831143229968222e-262,0.9923625254582484,0.9494647747074931
2,AT2G15050,23.576666,1.7312205,6.68959388446414e-123,7.483983158244256e-119,0.6761710794297352,0.4566840926064227
2,AT5G49360,22.276667,1.0251348,6.22184872968297e-110,4.640462177555215e-106,0.8559063136456212,0.7631316903161564
2,AT5G44020,17.343384,1.1833558,2.213181931400685e-67,1.237998642877258e-63,0.610488798370672,0.4507094846900672
2,AT4G23670,14.858315,1.0236837,6.145110069827309e-50,2.749936756247721e-46,0.6013238289205702,0.4605426935524023
2,AT2G26250,13.862565,1.4911845,1.067890245783808e-43,2.9867555311765877e-40,0.3854378818737271,0.21346776201145135
2,AT1G80440,10.665765,1.0861726,1.471824486825355e-26,2.5332363763628706e-23,0.3742362525458248,0.24670151854617875
2,AT3G26450,7.889623,1.0096312,3.030998983692735e-15,2.1193313206289046e-12,0.29124236252545826,0.19467264127458303
2,AT5G12950,7.566303,1.127114,3.8399659753611265e-14,2.2030574025309028e-11,0.2515274949083503,0.15235250186706498
3,AT4G16990,32.217655,1.8705497,9.989541393581924e-228,2.2351598868139553e-223,0.850259067357513,0.5174764501735251
4,AT3G60600,28.993816,5.889878,7.873450668134888e-185,1.761684586995181e-180,0.9164345403899722,0.08123249299719888
5,AT3G28550,19.632376,7.0476027,8.179831365728717e-86,1.8302372680818002e-81,0.8367346938775511,0.0586614976535401
5,AT3G05490,18.103899,5.4458237,2.968875580628204e-73,3.321429555827803e-69,0.8010204081632653,0.1286472148541114
5,AT3G54590,16.367725,7.503957,3.2513648263702857e-60,1.8187321997508784e-56,0.6938775510204082,0.02479085900836564
5,AT3G54580,15.470997,7.07212,5.445696948171557e-54,2.4369493843067717e-50,0.6632653061224489,0.03886961844521526
5,AT5G04960,15.376334,6.978147,2.359325676512798e-53,8.798318668662309e-50,0.6530612244897959,0.024484799020608038
5,AT1G48930,13.680626,6.7311635,1.3254715786924825e-42,3.707178321655537e-39,0.5816326530612245,0.018057539277698428
5,AT1G22530,13.663443,3.0540812,1.6785644416548653e-42,4.173097709114179e-39,0.7755102040816326,0.42164864313405426
5,AT1G12560,13.440613,6.7478786,3.4952809482471735e-41,7.82069112170305e-38,0.5714285714285714,0.016527239338910427
5,AT1G12040,12.9353075,7.3321695,2.844834227529236e-38,5.786651440087877e-35,0.5459183673469388,0.010814119567435217
5,AT3G62680,12.705543,6.7549114,5.508638093229479e-37,1.0271314778000799e-33,0.5408163265306123,0.017445419302183227
5,AT4G25820,12.464092,6.870578,1.171984166102801e-35,2.017165055119244e-32,0.5306122448979592,0.01897571924097123
5,AT5G67400,12.424703,7.137651,1.91938624297695e-35,3.0675905133292326e-32,0.5255102040816326,0.013058559477657621
5,AT1G56660,11.756139,3.492637,6.566898681939695e-32,9.795623867226712e-29,0.6020408163265306,0.16853703325851868
5,AT4G34580,11.5841465,6.368327,4.9588081796397365e-31,6.934583313714943e-28,0.49489795918367346,0.017955519281779228
5,AT5G06640,11.31463,6.999831,1.1107088528720472e-29,1.4618888578242386e-26,0.47959183673469385,0.011834319526627219
5,AT3G21070,11.2395735,3.0802262,2.6063773177788976e-29,2.650804203877401e-26,0.5918367346938775,0.17465823301367067
5,AT5G65930,11.060208,2.8328047,1.9564339563727908e-28,1.9032699901670083e-25,0.6122448979591837,0.24076719036931238
