leiden,Epidermal,Guard,Meristematic,Mesophyll,Stele
0,1666,7,203,799,375
1,817,7,180,1273,222
2,1225,1,123,452,163
3,578,6,143,978,225
4,184,0,22,116,37
5,185,0,6,1,4
