gene,selection_freq,mean_coef,top_celltype,top_expr,epidermal_expr,mesophyll_expr,stele_expr,meristematic_expr,guard_expr
AT4G10250,1.0,0.723079121893531,Epidermal,0.0,0.0,0.0,0.0,0.0,0.0
AT2G14247,1.0,-0.363778374479997,Mesophyll,0.0448501376837518,0.0289500940769074,0.0448501376837518,0.0383816333922601,0.0180434335884024,0.0
AT4G01390,1.0,-0.818882385926471,Stele,0.039264475665467,0.0115994673442521,0.0145406830219342,0.039264475665467,0.0,0.0
AT4G30170,0.983333333333333,0.438365749308878,Epidermal,0.0845762277726692,0.0845762277726692,0.0488865374355738,0.0653465847959017,0.0595557568433536,0.0
AT5G56080,0.983333333333333,-0.312779791861931,Mesophyll,0.0112194384391658,0.0079207435452466,0.0112194384391658,0.00616974645007,0.0088982110502221,0.0
AT4G10510,0.983333333333333,-0.311481980668501,Epidermal,0.0237379289959678,0.0237379289959678,0.0139118474043088,0.017349161685466,0.0163729758474629,0.0
AT3G56970,0.95,-0.242272655097569,Epidermal,0.056128128938253,0.056128128938253,0.030990530506352,0.0477301069292531,0.0502911880763385,0.0
AT3G21370,0.95,-0.268538776143753,Meristematic,0.0030875614912582,0.0,0.0003521492528892,0.0,0.0030875614912582,0.0
AT1G07400,0.933333333333333,0.197953022448154,Meristematic,0.003958829749605,0.0,0.0010301619632152,0.0023181914914943,0.003958829749605,0.0
AT1G08090,0.933333333333333,-0.230315095712082,Epidermal,0.0041514785144087,0.0041514785144087,0.0037203731266088,0.0017881915340595,0.0,0.0
AT1G70260,0.883333333333333,-0.263340865264557,Meristematic,0.0072851805465621,0.0069426146331067,0.0060098439130159,0.0019381894244266,0.0072851805465621,0.0
AT3G55290,0.883333333333333,-0.234980580465528,Epidermal,0.0040825083829373,0.0040825083829373,0.0033852758514178,0.0,0.0007357334770446,0.0
AT1G52560,0.866666666666667,0.298551028762012,Meristematic,0.0087039719990966,0.0022897906921917,0.0016081123178114,0.0075241808355,0.0087039719990966,0.0
AT3G49970,0.85,0.188661512545954,Stele,0.0045651691348665,0.0033907188573922,0.0040011337788508,0.0045651691348665,0.0,0.0
AT1G54970,0.833333333333333,0.253760116521487,Epidermal,0.0211518975488166,0.0211518975488166,0.0031578454968502,0.0,0.0027802046101521,0.0
AT1G29090,0.833333333333333,-0.162029590072679,Meristematic,0.0182881862210928,0.0004436568143573,0.0,0.0,0.0182881862210928,0.0
AT2G29500,0.816666666666667,0.197655504978516,Epidermal,0.0090290382071063,0.0090290382071063,0.0082434020315767,0.0014182805242959,0.0064291873859243,0.0
