source_cell_type,target_cell_type,source_organ_proxy,target_organ_proxy,dominant_signal,ca2_strength,k_strength,total_strength,ca2_k_ratio,top_source_genes,top_target_genes,strongest_coexpr_in_source
Guard,Meristematic,Cotyledon/leaf (stomata),Root tip,Ca2+,12.14,0.86,12.99,14.2,"CML24(0.60), KC1(0.54), CIPK9(0.34)","CML24(0.64), KC1(0.51), CIPK1(0.42)",CDPK4_Guard~ANNAT1 (r=0.559)
Guard,Guard,Cotyledon/leaf (stomata),Cotyledon/leaf (stomata),Ca2+,12.1,0.81,12.91,14.9,"CML24(0.60), KC1(0.54), CIPK9(0.34)","CML24(0.60), KC1(0.54), CIPK9(0.34)",CDPK4_Guard~ANNAT1 (r=0.559)
Guard,Epidermal,Cotyledon/leaf (stomata),All organs (surface),Ca2+,11.2,0.97,12.17,11.5,"CML24(0.60), KC1(0.54), CIPK9(0.34)","KC1(0.49), CML24(0.46), CIPK1(0.46)",CDPK4_Guard~ANNAT1 (r=0.559)
Guard,Stele,Cotyledon/leaf (stomata),Root/hypocotyl (vascular),Ca2+,11.09,0.92,12.01,12.0,"CML24(0.60), KC1(0.54), CIPK9(0.34)","CML24(0.55), KC1(0.53), CIPK1(0.40)",CDPK4_Guard~ANNAT1 (r=0.559)
Meristematic,Guard,Root tip,Cotyledon/leaf (stomata),Ca2+,11.05,0.86,11.91,12.9,"CML24(0.64), KC1(0.51), CIPK1(0.42)","CML24(0.60), KC1(0.54), CIPK9(0.34)",CDPK3_Meristematic~ANNAT1 (r=0.091)
Epidermal,Guard,All organs (surface),Cotyledon/leaf (stomata),Ca2+,10.6,1.16,11.76,9.2,"KC1(0.49), CML24(0.46), CIPK1(0.46)","CML24(0.60), KC1(0.54), CIPK9(0.34)",CaM3_Epidermal~ANNAT1 (r=0.100)
Epidermal,Meristematic,All organs (surface),Root tip,Ca2+,10.48,1.19,11.66,8.8,"KC1(0.49), CML24(0.46), CIPK1(0.46)","CML24(0.64), KC1(0.51), CIPK1(0.42)",CaM3_Epidermal~ANNAT1 (r=0.100)
Meristematic,Meristematic,Root tip,Root tip,Ca2+,10.76,0.88,11.64,12.2,"CML24(0.64), KC1(0.51), CIPK1(0.42)","CML24(0.64), KC1(0.51), CIPK1(0.42)",CDPK3_Meristematic~ANNAT1 (r=0.091)
Guard,Mesophyll,Cotyledon/leaf (stomata),Cotyledon/leaf,Ca2+,10.6,0.78,11.38,13.5,"CML24(0.60), KC1(0.54), CIPK9(0.34)","KC1(0.54), CIPK9(0.48), CIPK1(0.42)",CDPK4_Guard~ANNAT1 (r=0.559)
Epidermal,Epidermal,All organs (surface),All organs (surface),Ca2+,9.7,1.35,11.05,7.2,"KC1(0.49), CML24(0.46), CIPK1(0.46)","KC1(0.49), CML24(0.46), CIPK1(0.46)",CaM3_Epidermal~ANNAT1 (r=0.100)
Mesophyll,Guard,Cotyledon/leaf,Cotyledon/leaf (stomata),Ca2+,10.25,0.72,10.97,14.3,"KC1(0.54), CIPK9(0.48), CIPK1(0.42)","CML24(0.60), KC1(0.54), CIPK9(0.34)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Meristematic,Epidermal,Root tip,All organs (surface),Ca2+,9.93,1.0,10.93,9.9,"CML24(0.64), KC1(0.51), CIPK1(0.42)","KC1(0.49), CML24(0.46), CIPK1(0.46)",CDPK3_Meristematic~ANNAT1 (r=0.091)
Epidermal,Stele,All organs (surface),Root/hypocotyl (vascular),Ca2+,9.57,1.28,10.85,7.5,"KC1(0.49), CML24(0.46), CIPK1(0.46)","CML24(0.55), KC1(0.53), CIPK1(0.40)",CaM3_Epidermal~ANNAT1 (r=0.100)
Mesophyll,Meristematic,Cotyledon/leaf,Root tip,Ca2+,10.04,0.74,10.78,13.6,"KC1(0.54), CIPK9(0.48), CIPK1(0.42)","CML24(0.64), KC1(0.51), CIPK1(0.42)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Meristematic,Stele,Root tip,Root/hypocotyl (vascular),Ca2+,9.81,0.95,10.76,10.3,"CML24(0.64), KC1(0.51), CIPK1(0.42)","CML24(0.55), KC1(0.53), CIPK1(0.40)",CDPK3_Meristematic~ANNAT1 (r=0.091)
Stele,Guard,Root/hypocotyl (vascular),Cotyledon/leaf (stomata),Ca2+,9.51,1.12,10.63,8.5,"CML24(0.55), KC1(0.53), CIPK1(0.40)","CML24(0.60), KC1(0.54), CIPK9(0.34)",CAX3_Stele~KAT2 (r=0.074)
Stele,Meristematic,Root/hypocotyl (vascular),Root tip,Ca2+,9.39,1.14,10.53,8.2,"CML24(0.55), KC1(0.53), CIPK1(0.40)","CML24(0.64), KC1(0.51), CIPK1(0.42)",CAX3_Stele~KAT2 (r=0.074)
Epidermal,Mesophyll,All organs (surface),Cotyledon/leaf,Ca2+,9.23,1.09,10.31,8.5,"KC1(0.49), CML24(0.46), CIPK1(0.46)","KC1(0.54), CIPK9(0.48), CIPK1(0.42)",CaM3_Epidermal~ANNAT1 (r=0.100)
Meristematic,Mesophyll,Root tip,Cotyledon/leaf,Ca2+,9.43,0.8,10.23,11.8,"CML24(0.64), KC1(0.51), CIPK1(0.42)","KC1(0.54), CIPK9(0.48), CIPK1(0.42)",CDPK3_Meristematic~ANNAT1 (r=0.091)
Mesophyll,Epidermal,Cotyledon/leaf,All organs (surface),Ca2+,9.25,0.84,10.09,11.0,"KC1(0.54), CIPK9(0.48), CIPK1(0.42)","KC1(0.49), CML24(0.46), CIPK1(0.46)",CaM3_Mesophyll~ANNAT1 (r=0.096)
