"query_name","source","term_id","term_name","p_value","term_size","query_size","intersection_size","intersection"
"All_85","KEGG","KEGG:04141","Protein processing in endoplasmic reticulum",2.60620292766117e-08,15,85,9,"AT4G10250,AT1G07400,AT1G52560,AT2G29500,AT1G53540,AT1G54050,AT5G59720,AT3G46230,AT4G25200"
"All_85","GO:BP","GO:0009408","response to heat",0.0108070297237036,31,85,8,"AT4G10250,AT1G07400,AT1G52560,AT5G48570,AT5G59720,AT2G38750,AT3G46230,AT2G42540"
"Flight_up_41","KEGG","KEGG:04141","Protein processing in endoplasmic reticulum",1.25275663663359e-11,15,41,9,"AT4G10250,AT1G07400,AT1G52560,AT2G29500,AT1G53540,AT1G54050,AT5G59720,AT3G46230,AT4G25200"
"Flight_up_41","GO:BP","GO:0009408","response to heat",0.00434136291628011,31,41,6,"AT4G10250,AT1G07400,AT1G52560,AT5G48570,AT5G59720,AT3G46230"
"Flight_up_41","GO:BP","GO:0071453","cellular response to oxygen levels",0.0322195776904064,26,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0070647","protein modification by small protein conjugation or removal",0.0322195776904064,12,41,3,"AT3G49970,AT5G50580,AT1G60190"
"Flight_up_41","GO:BP","GO:0070482","response to oxygen levels",0.0322195776904064,27,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0036293","response to decreased oxygen levels",0.0322195776904064,27,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0043687","post-translational protein modification",0.0322195776904064,12,41,3,"AT3G49970,AT5G50580,AT1G60190"
"Flight_up_41","GO:BP","GO:0071456","cellular response to hypoxia",0.0322195776904064,25,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0036294","cellular response to decreased oxygen levels",0.0322195776904064,26,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0001666","response to hypoxia",0.0322195776904064,26,41,4,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","GO:0032446","protein modification by small protein conjugation",0.0322195776904064,12,41,3,"AT3G49970,AT5G50580,AT1G60190"
"Ground_up_44","GO:BP","GO:0009813","flavonoid biosynthetic process",0.0414785079461682,13,44,4,"AT2G02990,AT5G13930,AT2G36790,AT3G51240"
