"query_name","source","term_id","term_name","p_value","term_size","query_size","intersection_size","precision","recall","intersection"
"All_85","KEGG","KEGG:04712","Circadian rhythm - plant",0.178145208359203,2,85,1,0.0117647058823529,0.5,"AT5G13930"
"All_85","GO:BP","GO:0036294","cellular response to decreased oxygen levels",0.190212385956721,26,85,5,0.0588235294117647,0.192307692307692,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0071453","cellular response to oxygen levels",0.190212385956721,26,85,5,0.0588235294117647,0.192307692307692,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0070482","response to oxygen levels",0.190212385956721,27,85,5,0.0588235294117647,0.185185185185185,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0071456","cellular response to hypoxia",0.190212385956721,25,85,5,0.0588235294117647,0.2,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0001666","response to hypoxia",0.190212385956721,26,85,5,0.0588235294117647,0.192307692307692,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0036293","response to decreased oxygen levels",0.190212385956721,27,85,5,0.0588235294117647,0.185185185185185,"AT4G10250,AT2G14247,AT1G07400,AT1G54050,AT3G46230"
"All_85","GO:BP","GO:0010286","heat acclimation",0.26152196064484,10,85,3,0.0352941176470588,0.3,"AT5G48570,AT5G59720,AT2G42540"
"All_85","GO:CC","GO:0005783","endoplasmic reticulum",0.280967147391651,88,85,8,0.0941176470588235,0.0909090909090909,"AT4G10250,AT3G21370,AT1G70260,AT3G52720,AT3G57020,AT5G13930,AT2G36790,AT1G51270"
"All_85","GO:CC","GO:0005769","early endosome",0.280967147391651,1,85,1,0.0117647058823529,1,"AT4G19690"
"All_85","GO:CC","GO:0031410","cytoplasmic vesicle",0.280967147391651,44,85,5,0.0588235294117647,0.113636363636364,"AT3G22060,AT3G05727,AT4G19690,AT2G26010,AT4G11650"
"All_85","GO:CC","GO:0009514","glyoxysome",0.280967147391651,1,85,1,0.0117647058823529,1,"AT3G21720"
"All_85","GO:CC","GO:0019005","SCF ubiquitin ligase complex",0.280967147391651,1,85,1,0.0117647058823529,1,"AT3G44326"
"All_85","GO:CC","GO:0012505","endomembrane system",0.280967147391651,123,85,11,0.129411764705882,0.0894308943089431,"AT4G10250,AT3G21370,AT1G70260,AT4G22690,AT3G52720,AT2G38750,AT3G57020,AT4G19690,AT5G13930,AT2G36790,AT1G51270"
"All_85","GO:CC","GO:0031461","cullin-RING ubiquitin ligase complex",0.280967147391651,1,85,1,0.0117647058823529,1,"AT3G44326"
"All_85","GO:CC","GO:0000151","ubiquitin ligase complex",0.280967147391651,1,85,1,0.0117647058823529,1,"AT3G44326"
"All_85","GO:CC","GO:0099503","secretory vesicle",0.280967147391651,31,85,4,0.0470588235294118,0.129032258064516,"AT3G22060,AT3G05727,AT2G26010,AT4G11650"
"All_85","GO:CC","GO:0097708","intracellular vesicle",0.280967147391651,46,85,5,0.0588235294117647,0.108695652173913,"AT3G22060,AT3G05727,AT4G19690,AT2G26010,AT4G11650"
"All_85","KEGG","KEGG:00052","Galactose metabolism",0.292013376300931,4,85,1,0.0117647058823529,0.25,"AT3G01260"
"All_85","GO:CC","GO:0031982","vesicle",0.298784826772172,48,85,5,0.0588235294117647,0.104166666666667,"AT3G22060,AT3G05727,AT4G19690,AT2G26010,AT4G11650"
"All_85","GO:BP","GO:0032446","protein modification by small protein conjugation",0.354215109594284,12,85,3,0.0352941176470588,0.25,"AT3G49970,AT5G50580,AT1G60190"
"All_85","GO:BP","GO:0043687","post-translational protein modification",0.354215109594284,12,85,3,0.0352941176470588,0.25,"AT3G49970,AT5G50580,AT1G60190"
"All_85","GO:BP","GO:0070647","protein modification by small protein conjugation or removal",0.354215109594284,12,85,3,0.0352941176470588,0.25,"AT3G49970,AT5G50580,AT1G60190"
"All_85","GO:MF","GO:0033897","ribonuclease T2 activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT2G02990"
"All_85","GO:MF","GO:0016859","cis-trans isomerase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT5G48570"
"All_85","GO:MF","GO:0016847","1-aminocyclopropane-1-carboxylate synthase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT5G65800"
"All_85","GO:MF","GO:0005375","copper ion transmembrane transporter activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT4G19690"
"All_85","GO:MF","GO:0045486","flavanone 3-dioxygenase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT3G51240"
"All_85","GO:MF","GO:0019948","SUMO activating enzyme activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT5G50580"
"All_85","GO:MF","GO:0031418","L-ascorbic acid binding",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT3G51240"
"All_85","GO:MF","GO:0120545","nucleic acid conformation isomerase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G24575"
"All_85","GO:MF","GO:0120543","macromolecular conformation isomerase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G24575"
"All_85","GO:MF","GO:0103117","UDP-3-O-acyl-N-acetylglucosamine deacetylase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:MF","GO:0004842","ubiquitin-protein transferase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G60190"
"All_85","GO:MF","GO:0016853","isomerase activity",0.384410125615683,21,85,3,0.0352941176470588,0.142857142857143,"AT1G24575,AT5G48570,AT3G01260"
"All_85","GO:MF","GO:0016849","phosphorus-oxygen lyase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT2G02990"
"All_85","GO:MF","GO:0016829","lyase activity",0.384410125615683,49,85,5,0.0588235294117647,0.102040816326531,"AT3G52720,AT2G02990,AT1G54040,AT3G21720,AT5G65800"
"All_85","GO:MF","GO:0016755","aminoacyltransferase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G60190"
"All_85","GO:MF","GO:0016844","strictosidine synthase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT3G57020"
"All_85","GO:MF","GO:0016833","oxo-acid-lyase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT3G21720"
"All_85","GO:MF","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",0.384410125615683,6,85,2,0.0235294117647059,0.333333333333333,"AT1G25145,AT5G23220"
"All_85","GO:MF","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.384410125615683,10,85,3,0.0352941176470588,0.3,"AT1G25145,AT3G57020,AT5G23220"
"All_85","GO:MF","GO:0016420","malonyltransferase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT3G29670"
"All_85","GO:MF","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT5G48570"
"All_85","GO:MF","GO:0004040","amidase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT5G23220"
"All_85","GO:MF","GO:0016210","naringenin-chalcone synthase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT5G13930"
"All_85","GO:MF","GO:0008936","nicotinamidase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT5G23220"
"All_85","GO:MF","GO:0008641","ubiquitin-like modifier activating enzyme activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT5G50580"
"All_85","GO:MF","GO:0005544","calcium-dependent phospholipid binding",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT2G38750"
"All_85","GO:MF","GO:0005534","galactose binding",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT2G42540"
"All_85","GO:MF","GO:0048029","monosaccharide binding",0.384410125615683,4,85,2,0.0235294117647059,0.5,"AT3G51240,AT2G42540"
"All_85","GO:MF","GO:0004386","helicase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G24575"
"All_85","GO:MF","GO:0004451","isocitrate lyase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT3G21720"
"All_85","GO:MF","GO:0050736","O-malonyltransferase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT3G29670"
"All_85","GO:MF","GO:0030410","nicotianamine synthase activity",0.384410125615683,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:MF","GO:0030246","carbohydrate binding",0.384410125615683,54,85,5,0.0588235294117647,0.0925925925925926,"AT5G57540,AT3G01260,AT3G51240,AT2G42540,AT5G38550"
"All_85","GO:MF","GO:0019842","vitamin binding",0.384410125615683,9,85,2,0.0235294117647059,0.222222222222222,"AT3G51240,AT5G65800"
"All_85","GO:MF","GO:0019787","ubiquitin-like protein transferase activity",0.384410125615683,2,85,1,0.0117647058823529,0.5,"AT1G60190"
"All_85","GO:BP","GO:0009411","response to UV",0.389448375975322,7,85,2,0.0235294117647059,0.285714285714286,"AT5G13930,AT3G51240"
"All_85","GO:BP","GO:0009718","anthocyanin-containing compound biosynthetic process",0.389448375975322,5,85,2,0.0235294117647059,0.4,"AT2G02990,AT5G13930"
"All_85","GO:BP","GO:0010233","phloem transport",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0009667","plastid inner membrane organization",0.389448375975322,1,85,1,0.0117647058823529,1,"AT2G42540"
"All_85","GO:BP","GO:0061817","endoplasmic reticulum-plasma membrane tethering",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G51270"
"All_85","GO:BP","GO:0051643","endoplasmic reticulum localization",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G51270"
"All_85","GO:BP","GO:0061024","membrane organization",0.389448375975322,8,85,2,0.0235294117647059,0.25,"AT1G51270,AT2G42540"
"All_85","GO:BP","GO:0003008","system process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0010224","response to UV-B",0.389448375975322,5,85,2,0.0235294117647059,0.4,"AT5G13930,AT3G51240"
"All_85","GO:BP","GO:0042440","pigment metabolic process",0.389448375975322,30,85,4,0.0470588235294118,0.133333333333333,"AT2G02990,AT5G13930,AT4G27560,AT2G36790"
"All_85","GO:BP","GO:0033554","cellular response to stress",0.389448375975322,83,85,8,0.0941176470588235,0.0963855421686747,"AT4G10250,AT2G14247,AT3G56970,AT1G07400,AT1G54050,AT5G48570,AT2G02990,AT3G46230"
"All_85","GO:BP","GO:1902289","negative regulation of defense response to oomycetes",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G70260"
"All_85","GO:BP","GO:1902288","regulation of defense response to oomycetes",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G70260"
"All_85","GO:BP","GO:0019218","regulation of steroid metabolic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT3G44326"
"All_85","GO:BP","GO:0022406","membrane docking",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G51270"
"All_85","GO:BP","GO:0030418","nicotianamine biosynthetic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0010232","vascular transport",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0010047","fruit dehiscence",0.389448375975322,1,85,1,0.0117647058823529,1,"AT2G41850"
"All_85","GO:BP","GO:0016925","protein sumoylation",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G50580"
"All_85","GO:BP","GO:0019363","pyridine nucleotide biosynthetic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G23220"
"All_85","GO:BP","GO:0009830","cell wall modification involved in abscission",0.389448375975322,1,85,1,0.0117647058823529,1,"AT2G41850"
"All_85","GO:BP","GO:0003018","vascular process in circulatory system",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0044277","cell wall disassembly",0.389448375975322,1,85,1,0.0117647058823529,1,"AT2G41850"
"All_85","GO:BP","GO:0003013","circulatory system process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0072525","pyridine-containing compound biosynthetic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G23220"
"All_85","GO:BP","GO:0072350","tricarboxylic acid metabolic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:0072351","tricarboxylic acid biosynthetic process",0.389448375975322,1,85,1,0.0117647058823529,1,"AT5G56080"
"All_85","GO:BP","GO:1900425","negative regulation of defense response to bacterium",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G70260"
"All_85","GO:BP","GO:0140056","organelle localization by membrane tethering",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G51270"
"All_85","GO:BP","GO:1900424","regulation of defense response to bacterium",0.389448375975322,1,85,1,0.0117647058823529,1,"AT1G70260"
"All_85","GO:MF","GO:0004089","carbonate dehydratase activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT3G52720"
"All_85","GO:MF","GO:0008146","sulfotransferase activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT1G13430"
"All_85","GO:MF","GO:0005385","zinc ion transmembrane transporter activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT4G19690"
"All_85","GO:MF","GO:0016706","2-oxoglutarate-dependent dioxygenase activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT3G51240"
"All_85","GO:MF","GO:0016782","transferase activity, transferring sulphur-containing groups",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT1G13430"
"All_85","GO:MF","GO:0016746","acyltransferase activity",0.430738594916664,28,85,3,0.0352941176470588,0.107142857142857,"AT5G13930,AT1G60190,AT3G29670"
"All_85","GO:MF","GO:0003824","catalytic activity",0.430738594916664,650,85,33,0.388235294117647,0.0507692307692308,"AT4G30170,AT5G56080,AT4G10510,AT3G21370,AT3G55290,AT1G29090,AT4G22690,AT2G41850,AT1G24575,AT3G26280,AT5G57540,AT5G48570,AT3G52720,AT1G25145,AT2G02990,AT5G50580,AT3G57020,AT3G01260,AT5G13930,AT1G54040,AT4G12870,AT3G21720,AT3G46700,AT1G60190,AT4G27560,AT2G36790,AT5G23220,AT3G51240,AT1G66800,AT1G51270,AT3G29670,AT5G65800,AT1G13430"
"All_85","GO:MF","GO:0140640","catalytic activity, acting on a nucleic acid",0.430738594916664,14,85,2,0.0235294117647059,0.142857142857143,"AT1G24575,AT2G02990"
"All_85","GO:MF","GO:0016877","ligase activity, forming carbon-sulfur bonds",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT5G50580"
"All_85","GO:MF","GO:0080046","quercetin 4'-O-glucosyltransferase activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT2G36790"
"All_85","GO:MF","GO:0004521","RNA endonuclease activity",0.430738594916664,3,85,1,0.0117647058823529,0.333333333333333,"AT2G02990"
"All_85","GO:BP","GO:0009266","response to temperature stimulus",0.446416727832696,97,85,8,0.0941176470588235,0.0824742268041237,"AT4G10250,AT1G07400,AT1G52560,AT5G48570,AT5G59720,AT2G38750,AT3G46230,AT2G42540"
"All_85","GO:BP","GO:0009819","drought recovery",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT2G42540"
"All_85","GO:BP","GO:0009835","fruit ripening",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G65800"
"All_85","GO:BP","GO:1901271","lipooligosaccharide biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:0042218","1-aminocyclopropane-1-carboxylate biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G65800"
"All_85","GO:BP","GO:0035434","copper ion transmembrane transport",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT4G19690"
"All_85","GO:BP","GO:1901269","lipooligosaccharide metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:0042401","biogenic amine biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G56080"
"All_85","GO:BP","GO:0046487","glyoxylate metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT3G21720"
"All_85","GO:BP","GO:0007029","endoplasmic reticulum organization",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G51270"
"All_85","GO:BP","GO:0009309","amine biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G56080"
"All_85","GO:BP","GO:0046493","lipid A metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:0009245","lipid A biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:0080028","nitrile biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G54040"
"All_85","GO:BP","GO:0018871","1-aminocyclopropane-1-carboxylate metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G65800"
"All_85","GO:BP","GO:0090158","endoplasmic reticulum membrane organization",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G51270"
"All_85","GO:BP","GO:0042594","response to starvation",0.45962786878114,23,85,3,0.0352941176470588,0.130434782608696,"AT3G56970,AT2G02990,AT2G30766"
"All_85","GO:BP","GO:0006950","response to stress",0.45962786878114,405,85,23,0.270588235294118,0.0567901234567901,"AT4G10250,AT2G14247,AT4G30170,AT3G56970,AT1G07400,AT1G70260,AT1G52560,AT2G29500,AT1G54050,AT5G48570,AT3G05727,AT4G09420,AT5G59720,AT2G02990,AT2G38750,AT3G46230,AT5G13930,AT1G54040,AT1G80130,AT2G26010,AT4G11650,AT2G42540,AT2G30766"
"All_85","GO:BP","GO:0006826","iron ion transport",0.45962786878114,11,85,2,0.0235294117647059,0.181818181818182,"AT4G19690,AT2G30766"
"All_85","GO:BP","GO:0050898","nitrile metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G54040"
"All_85","GO:BP","GO:0006097","glyoxylate cycle",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT3G21720"
"All_85","GO:BP","GO:0006576","biogenic amine metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G56080"
"All_85","GO:BP","GO:0031537","regulation of anthocyanin metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G13930"
"All_85","GO:BP","GO:0009247","glycolipid biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:2001289","lipid X metabolic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT1G25145"
"All_85","GO:BP","GO:0031540","regulation of anthocyanin biosynthetic process",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT5G13930"
"All_85","GO:BP","GO:0016567","protein ubiquitination",0.45962786878114,11,85,2,0.0235294117647059,0.181818181818182,"AT3G49970,AT1G60190"
"All_85","GO:BP","GO:0015675","nickel cation transport",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT4G19690"
"All_85","GO:BP","GO:0006825","copper ion transport",0.45962786878114,2,85,1,0.0117647058823529,0.5,"AT4G19690"
"All_85","GO:MF","GO:0016757","glycosyltransferase activity",0.481346377900586,50,85,4,0.0470588235294118,0.08,"AT5G57540,AT3G46700,AT4G27560,AT2G36790"
"All_85","GO:MF","GO:0046527","glucosyltransferase activity",0.481346377900586,32,85,3,0.0352941176470588,0.09375,"AT5G57540,AT3G46700,AT2G36790"
"All_85","GO:MF","GO:0005381","iron ion transmembrane transporter activity",0.481346377900586,4,85,1,0.0117647058823529,0.25,"AT4G19690"
"All_85","GO:MF","GO:0015112","nitrate transmembrane transporter activity",0.481346377900586,4,85,1,0.0117647058823529,0.25,"AT1G08090"
"All_85","GO:MF","GO:0008194","UDP-glycosyltransferase activity",0.481346377900586,32,85,3,0.0352941176470588,0.09375,"AT3G46700,AT4G27560,AT2G36790"
"All_85","GO:MF","GO:0005199","structural constituent of cell wall",0.481346377900586,17,85,2,0.0235294117647059,0.117647058823529,"AT1G26240,AT4G13390"
"All_85","GO:MF","GO:0016846","carbon-sulfur lyase activity",0.481346377900586,4,85,1,0.0117647058823529,0.25,"AT5G65800"
"All_85","GO:MF","GO:0004540","RNA nuclease activity",0.481346377900586,4,85,1,0.0117647058823529,0.25,"AT2G02990"
"All_85","GO:BP","GO:0046148","pigment biosynthetic process",0.492893517018117,26,85,3,0.0352941176470588,0.115384615384615,"AT2G02990,AT5G13930,AT2G36790"
"All_85","GO:BP","GO:0050896","response to stimulus",0.492893517018117,622,85,32,0.376470588235294,0.0514469453376206,"AT4G10250,AT2G14247,AT4G30170,AT5G56080,AT3G56970,AT1G07400,AT1G08090,AT1G70260,AT1G52560,AT2G29500,AT3G22060,AT1G54050,AT5G48570,AT3G05727,AT4G09420,AT5G59720,AT2G02990,AT2G38750,AT3G46230,AT4G19690,AT5G13930,AT1G54040,AT1G80130,AT2G26010,AT4G11650,AT3G51240,AT1G51270,AT2G42540,AT2G30766,AT3G29670,AT5G65800,AT1G13430"
"All_85","GO:BP","GO:0170043","non-proteinogenic amino acid biosynthetic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
"All_85","GO:BP","GO:0043270","positive regulation of monoatomic ion transport",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT2G30766"
"All_85","GO:BP","GO:1900673","olefin metabolic process",0.492893517018117,3,85,1,0.0117647058823529,0.333333333333333,"AT5G65800"
