"","Epidermal","Guard","Meristematic","Mesophyll","Stele"
"Epidermal",46.0394145628933,46.0394145628933,46.0394145628933,46.0394145628933,46.0394145628933
"Guard",39.4318563682462,39.4318563682462,39.4318563682462,39.4318563682462,39.4318563682462
"Meristematic",46.2469563738829,46.2469563738829,46.2469563738829,46.2469563738829,46.2469563738829
"Mesophyll",44.5001655580113,44.5001655580113,44.5001655580113,44.5001655580113,44.5001655580113
"Stele",44.7383504244742,44.7383504244742,44.7383504244742,44.7383504244742,44.7383504244742
