sample_id,study,column_name,condition,ecotype,genotype,tissue,condition_binary
Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Space Flight,Ws,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Space Flight,Ws,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Space Flight,Ws,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Space Flight,Ws,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Ground Control,Ws,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,Ground Control,Ws,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,Ground Control,Ws,Wild Type,seedling,0
