sample_id,study,column_name,condition,ecotype,genotype,tissue,condition_binary
Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,Ground Control,Ws,Wild Type,seedling,0
Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,Space Flight,Ws,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,Space Flight,Ws,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,Space Flight,Ws,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,Space Flight,Ler-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,Space Flight,Ws,Wild Type,seedling,1
Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,Space Flight,Cvi-0,Wild Type,seedling,1
Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,Ground Control,Ws,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,Ground Control,Ws,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,Ground Control,Ws,Wild Type,seedling,0
Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,Ground Control,Ler-0,Wild Type,seedling,0
Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,Ground Control,Ws,Wild Type,seedling,0
Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,Ground Control,Cvi-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Space Flight,Col-0,Wild Type,seedling,1
Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,OSD-37,OSD-37/OSD-37_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Ground Control,Col-0,Wild Type,seedling,0
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,Ground Control,Col-0,Wild Type,root,0
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,Ground Control,Col-0,Wild Type,root,0
Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13,Ground Control,Col-0,Wild Type,root,0
Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13,Ground Control,Col-0,Wild Type,root,0
Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13,Ground Control,Col-0,Wild Type,root,0
Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13,Ground Control,Unknown,Wild Type,root,0
Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,Space Flight,Col-0,Wild Type,root,1
Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13,Space Flight,Unknown,Wild Type,root,1
Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,OSD-120,OSD-120/OSD-120_transcription-profiling_rna-sequencing-(rna-seq)_illumina/Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,Ground Control,Col-0,Wild Type,root,0
Ground-1-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-ROOTS-rep1,Ground Control,Unknown,Wild Type,root,0
Ground-1-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-ROOTS-rep2,Ground Control,Unknown,Wild Type,root,0
Ground-1-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-ROOTS-rep3,Ground Control,Unknown,Wild Type,root,0
Ground-2-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-ROOTS-rep1,Ground Control,Unknown,Wild Type,root,0
Ground-2-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-ROOTS-rep2,Ground Control,Unknown,Wild Type,root,0
Ground-2-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-ROOTS-rep3,Ground Control,Unknown,Wild Type,root,0
Ground-3-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-ROOTS-rep1,Ground Control,Unknown,Wild Type,root,0
Ground-3-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-ROOTS-rep2,Ground Control,Unknown,Wild Type,root,0
Ground-3-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-ROOTS-rep3,Ground Control,Unknown,Wild Type,root,0
Ground-1-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-LEAVES-rep1,Ground Control,Unknown,Wild Type,leaf,0
Ground-1-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-LEAVES-rep2,Ground Control,Unknown,Wild Type,leaf,0
Ground-1-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-1-LEAVES-rep3,Ground Control,Unknown,Wild Type,leaf,0
Ground-2-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-LEAVES-rep1,Ground Control,Unknown,Wild Type,leaf,0
Ground-2-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-LEAVES-rep2,Ground Control,Unknown,Wild Type,leaf,0
Ground-2-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-2-LEAVES-rep3,Ground Control,Unknown,Wild Type,leaf,0
Ground-3-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-LEAVES-rep1,Ground Control,Unknown,Wild Type,leaf,0
Ground-3-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-LEAVES-rep2,Ground Control,Unknown,Wild Type,leaf,0
Ground-3-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Ground-3-LEAVES-rep3,Ground Control,Unknown,Wild Type,leaf,0
Flight-1-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-ROOTS-rep1,Space Flight,Unknown,Wild Type,root,1
Flight-1-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-ROOTS-rep2,Space Flight,Unknown,Wild Type,root,1
Flight-1-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-ROOTS-rep3,Space Flight,Unknown,Wild Type,root,1
Flight-2-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-ROOTS-rep1,Space Flight,Unknown,Wild Type,root,1
Flight-2-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-ROOTS-rep2,Space Flight,Unknown,Wild Type,root,1
Flight-2-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-2-ROOTS-rep3,Space Flight,Unknown,Wild Type,root,1
Flight-3-ROOTS-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-ROOTS-rep1,Space Flight,Unknown,Wild Type,root,1
Flight-3-ROOTS-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-ROOTS-rep2,Space Flight,Unknown,Wild Type,root,1
Flight-3-ROOTS-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-3-ROOTS-rep3,Space Flight,Unknown,Wild Type,root,1
Flight-1-LEAVES-rep1,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-LEAVES-rep1,Space Flight,Unknown,Wild Type,leaf,1
Flight-1-LEAVES-rep2,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-LEAVES-rep2,Space Flight,Unknown,Wild Type,leaf,1
Flight-1-LEAVES-rep3,OSD-624,OSD-624/OSD-624_transcription-profiling_rna-sequencing-(rna-seq)_Illumina/Flight-1-LEAVES-rep3,Space Flight,Unknown,Wild Type,leaf,1
