,CBL1,CBL9,CBL2,CIPK23,CIPK1,CIPK9,CML38,CML42,CML24,CaM7,CaM3,CDPK3,CDPK4,CAX3,NRT2.1,SOS1,ANNAT1,AKT1,AKT2,GORK,KAT1,KAT2,KC1,HSP22.0,TRAF-like
CBL1_Guard,1.0,-0.01136363636363636,-0.02502177156148721,0.13607247828088437,-0.04765139064222456,-0.04584841019364504,,,-0.02167264444833872,-0.015620203555999348,0.2644046159566128,-0.02559297122211623,0.628528472300257,-0.01136363636363636,,0.15202754017184744,0.8963004128436672,-0.03643245782705435,-0.03212446652289401,-0.02277361318890811,0.1776575751081888,0.4289661856922242,-0.02689169594035671,,
CBL9_Guard,-0.01136363636363636,1.0,-0.025021771561487244,-0.05115671105189778,-0.04765139064222455,-0.045848410193645044,,,-0.02167264444833872,-0.015620203555999333,-0.025268595171578773,0.2953215889178545,-0.016081867357604553,-0.011363636363636359,,-0.04098212200029875,-0.015281999060394232,-0.03643245782705435,-0.032124466522894,-0.02277361318890811,-0.030849794267409417,-0.015256940134046663,0.22525092433138932,,
CBL2_Guard,-0.02502177156148721,-0.025021771561487244,1.0,0.09572218902962855,-0.10492435458885006,0.03750653274095858,,,-0.047721340349730565,-0.034394374530748825,-0.055639321413538965,-0.056353570195956694,-0.03541091939476245,-0.02502177156148721,,0.009879026856972927,-0.033649676675300125,-0.03931230613031953,0.23200571096990133,-0.05014558092214274,0.18688628518075986,-0.03359449902700335,-0.0592132527994109,,
CIPK23_Guard,0.13607247828088437,-0.05115671105189778,0.09572218902962855,1.0,0.052460047088865897,0.045767099936085236,,,-0.06178524253818,0.04892428603034733,0.024266141386207293,0.10359588154458067,0.04693660649993712,0.1841999722923448,,-0.148761922069164,0.15870015333226367,-0.06565655381890362,0.2916781548542967,-0.1025220371571142,-0.07721021271891831,0.013553474832225989,-0.0948027219418495,,
CIPK1_Guard,-0.04765139064222456,-0.04765139064222455,-0.10492435458885006,0.052460047088865897,1.0,-0.06357276510454778,,,0.1775328644278412,0.08529602100119155,-0.028515205745409493,0.13008340366431514,0.1585659261065097,0.24998393940327707,,-0.1006840124115939,-0.01018026877171368,0.06320623572978311,-0.005600248505206378,0.08261556918087078,0.12739679686280647,-0.06397726846125923,-0.08866988700115623,,
CIPK9_Guard,-0.04584841019364504,-0.045848410193645044,0.03750653274095858,0.045767099936085236,-0.06357276510454778,1.0,,,-0.0874417537530643,0.04133291257313578,-0.1019501926470458,-0.01091235998728988,-0.06488486851362946,0.16012293200958932,,0.08971056236531486,-0.06165767181198709,-0.03860726692539877,-0.08095569805852419,-0.09188378839872885,0.13541815735623086,-0.06155656756177783,-0.10849885255231029,,
CML38_Guard,,,,,,,,,,,,,,,,,,,,,,,,,
CML42_Guard,,,,,,,,,,,,,,,,,,,,,,,,,
CML24_Guard,-0.02167264444833872,-0.02167264444833872,-0.047721340349730565,-0.06178524253818,0.1775328644278412,-0.0874417537530643,,,1.0,-0.029790738373426783,0.2558834781971384,-0.0488107281792671,-0.03067122021099029,-0.02167264444833871,,-0.07816080437888047,0.09201567609849502,-0.06948371802810621,0.1509513763377187,-0.04343366908735386,0.4961216232065867,-0.029097925022740875,0.0028747188559511885,,
CaM7_Guard,-0.015620203555999348,-0.015620203555999333,-0.034394374530748825,0.04892428603034733,0.08529602100119155,0.04133291257313578,,,-0.029790738373426783,1.0,-0.0347336528135698,0.19455608466452412,-0.02210577966840006,0.49678592599340554,,-0.05633311972652896,-0.02100629837380347,-0.0500792518427476,-0.044157582146963185,-0.03130410568703756,-0.04240544581835205,-0.02097185292712443,-0.036964731280788324,,
CaM3_Guard,0.2644046159566128,-0.025268595171578773,-0.055639321413538965,0.024266141386207293,-0.028515205745409493,-0.1019501926470458,,,0.2558834781971384,-0.0347336528135698,1.0,-0.0569094617563578,0.14886807293637466,-0.025268595171578756,,-0.035847807786412916,0.22711241789106124,-0.08101253845849578,0.14275392078185004,-0.050640234679288854,-0.008878365907205494,0.09330781474032673,-0.05979735328107744,,
CDPK3_Guard,-0.02559297122211623,0.2953215889178545,-0.056353570195956694,0.10359588154458067,0.13008340366431514,-0.01091235998728988,,,-0.0488107281792671,0.19455608466452412,-0.0569094617563578,1.0,-0.03621928362633354,0.42784861788517425,,-0.09229917566979134,-0.03441783507087874,0.058074814379364535,0.09225113711203604,-0.051290309573125165,-0.06947933492667335,0.3823176049860753,0.019442087634938685,,
CDPK4_Guard,0.628528472300257,-0.016081867357604553,-0.03541091939476245,0.04693660649993712,0.1585659261065097,-0.06488486851362946,,,-0.03067122021099029,-0.02210577966840006,0.14886807293637466,-0.03621928362633354,1.0,-0.016081867357604536,,0.06502001463364566,0.5593858761950762,-0.051559371977186436,-0.04546268404083904,-0.032229315937052395,0.08923706400071853,0.2615417073770321,-0.038057244467778736,,
CAX3_Guard,-0.01136363636363636,-0.011363636363636359,-0.02502177156148721,0.1841999722923448,0.24998393940327707,0.16012293200958932,,,-0.02167264444833871,0.49678592599340554,-0.025268595171578756,0.42784861788517425,-0.016081867357604536,1.0,,-0.040982122000298736,-0.015281999060394241,-0.0364324578270543,-0.032124466522894,-0.022773613188908116,-0.030849794267409424,-0.015256940134046666,-0.026891695940356702,,
NRT2.1_Guard,,,,,,,,,,,,,,,,,,,,,,,,,
SOS1_Guard,0.15202754017184744,-0.04098212200029875,0.009879026856972927,-0.148761922069164,-0.1006840124115939,0.08971056236531486,,,-0.07816080437888047,-0.05633311972652896,-0.035847807786412916,-0.09229917566979134,0.06502001463364566,-0.040982122000298736,,1.0,0.11885390209858965,-0.07989496311511038,-0.11585453494874645,-0.08213136748039916,-0.07146576498986597,0.02975295509108146,0.12953000764932038,,
ANNAT1_Guard,0.8963004128436672,-0.015281999060394232,-0.033649676675300125,0.15870015333226367,-0.01018026877171368,-0.06165767181198709,,,0.09201567609849502,-0.02100629837380347,0.22711241789106124,-0.03441783507087874,0.5593858761950762,-0.015281999060394241,,0.11885390209858965,1.0,-0.04899494919271892,-0.04320149391523082,-0.03062631751121145,0.14644871977404286,0.37987825759592503,0.05275183070483134,,
AKT1_Guard,-0.03643245782705435,-0.03643245782705435,-0.03931230613031953,-0.06565655381890362,0.06320623572978311,-0.03860726692539877,,,-0.06948371802810621,-0.0500792518427476,-0.08101253845849578,0.058074814379364535,-0.051559371977186436,-0.0364324578270543,,-0.07989496311511038,-0.04899494919271892,1.0,0.0399103563611526,-0.07301348578255981,-0.07037192932340748,-0.048914608864312224,0.020985217125434556,,
AKT2_Guard,-0.03212446652289401,-0.032124466522894,0.23200571096990133,0.2916781548542967,-0.005600248505206378,-0.08095569805852419,,,0.1509513763377187,-0.044157582146963185,0.14275392078185004,0.09225113711203604,-0.04546268404083904,-0.032124466522894,,-0.11585453494874645,-0.04320149391523082,0.0399103563611526,1.0,-0.06437993535533261,0.00784596718679404,-0.043130653506862224,-0.07602156196622534,,
GORK_Guard,-0.02277361318890811,-0.02277361318890811,-0.05014558092214274,-0.1025220371571142,0.08261556918087078,-0.09188378839872885,,,-0.04343366908735386,-0.03130410568703756,-0.050640234679288854,-0.051290309573125165,-0.032229315937052395,-0.022773613188908116,,-0.08213136748039916,-0.03062631751121145,-0.07301348578255981,-0.06437993535533261,1.0,-0.061825392781097215,-0.030576097469201396,-0.053893055157868464,,
KAT1_Guard,0.1776575751081888,-0.030849794267409417,0.18688628518075986,-0.07721021271891831,0.12739679686280647,0.13541815735623086,,,0.4961216232065867,-0.04240544581835205,-0.008878365907205494,-0.06947933492667335,0.08923706400071853,-0.030849794267409424,,-0.07146576498986597,0.14644871977404286,-0.07037192932340748,0.00784596718679404,-0.061825392781097215,1.0,0.050163813722672014,-0.07300508927903258,,
KAT2_Guard,0.4289661856922242,-0.015256940134046663,-0.03359449902700335,0.013553474832225989,-0.06397726846125923,-0.06155656756177783,,,-0.029097925022740875,-0.02097185292712443,0.09330781474032673,0.3823176049860753,0.2615417073770321,-0.015256940134046666,,0.02975295509108146,0.37987825759592503,-0.048914608864312224,-0.043130653506862224,-0.030576097469201396,0.050163813722672014,1.0,-0.03610507956572068,,
KC1_Guard,-0.02689169594035671,0.22525092433138932,-0.0592132527994109,-0.0948027219418495,-0.08866988700115623,-0.10849885255231029,,,0.0028747188559511885,-0.036964731280788324,-0.05979735328107744,0.019442087634938685,-0.038057244467778736,-0.026891695940356702,,0.12953000764932038,0.05275183070483134,0.020985217125434556,-0.07602156196622534,-0.053893055157868464,-0.07300508927903258,-0.03610507956572068,1.0,,
HSP22.0_Guard,,,,,,,,,,,,,,,,,,,,,,,,,
TRAF-like_Guard,,,,,,,,,,,,,,,,,,,,,,,,,
