,CBL1,CBL9,CBL2,CIPK23,CIPK1,CIPK9,CML38,CML42,CML24,CaM7,CaM3,CDPK3,CDPK4,CAX3,NRT2.1,SOS1,ANNAT1,AKT1,AKT2,GORK,KAT1,KAT2,KC1,HSP22.0,TRAF-like
CBL1,1.0,-0.0010439179204791834,0.007530597505412754,0.007079092450372438,-0.0008955631326610034,0.007414720948853227,0.005954667991799529,0.004070137270709975,0.008238823731837276,0.0025043492069371166,0.004618575705435241,0.008327217350250202,0.007574683889506664,0.0021928867547483535,-0.0011476244566696419,0.005147650847085913,0.013805568562484542,0.011750644913225815,0.0019343495148591331,0.009891957000727696,-0.0010734924130912343,-0.0019619663560221236,0.01859450238797398,0.018988447163809888,-0.003782450016298477
CBL9,-0.0010439179204791834,1.0,5.64199672028408e-05,0.007622198976842009,0.004615590855640702,0.005708224033172216,0.007238653131699164,0.013607688279074909,0.0022551995572490896,0.003007158068152729,-0.0019562064340968117,0.007831428010023041,-0.002598198979991174,0.007606232813905223,0.015201384894616273,-0.0013592624531882321,0.01431429418062466,0.015671165126778554,0.004862916867041918,-0.00019903982477098204,-0.0018322939608998272,0.0054867669779203945,0.017771320815700063,-0.0012711875226792484,0.0008483863042089775
CBL2,0.007530597505412754,5.64199672028408e-05,1.0,0.0012944212178302242,0.012572588695435627,0.004205603201219415,-0.004200844969618447,-0.003146290579056133,0.0032073760875978162,0.006505557022649956,0.009763187642563056,0.007349206588684855,0.002727097763268476,-0.005899311871102583,-0.003977461884221718,0.008903587369515078,0.003917516407916866,-0.0006885228575526947,0.0002656919301767041,-0.002829751781919824,-0.0001189904426532998,0.0058231677629178025,-0.0005715953943609627,-0.0014194663327481642,0.0025626971824534795
CIPK23,0.007079092450372438,0.007622198976842009,0.0012944212178302242,1.0,0.016637838386417247,-0.0021268570642307724,-0.0012424516262076238,0.010606393753437192,0.009953845498007157,0.002054936050455466,0.009638574219255163,0.00903195705659204,0.0106394515631372,0.011941175486068276,0.007328472898338737,0.01819001409760342,0.00802095976128115,0.055001507351844156,0.0056946823028171485,0.006576569523934313,0.0006289237582087241,-0.006963162306189207,0.04065370437966176,0.0017922260265765062,0.002559709285118787
CIPK1,-0.0008955631326610034,0.004615590855640702,0.012572588695435627,0.016637838386417247,1.0,0.015998409760007853,0.006652710750544175,-0.004632913242120411,0.00513965017224825,0.00033463066823382335,0.0043560459782518435,0.001852630946229414,0.0034132175538830888,0.00825875988588394,0.007011918922861599,0.015482739893170854,0.00677874345116469,0.02582024085484232,0.008328853240975044,0.0231038454939139,0.004234867118366184,-0.003237657998486633,0.022534765814813663,-0.00011969635323300441,-0.002858778537402582
CIPK9,0.007414720948853227,0.005708224033172216,0.004205603201219415,-0.0021268570642307724,0.015998409760007853,1.0,0.006534880950142726,-0.008592968782017249,0.007101739135960129,-0.0018060071383376554,-0.0059060928100988465,0.0023545369742302927,0.005972532671958503,-0.007858407744054864,-0.0030115649797566456,0.0066654861473541055,-0.013384531295369574,-0.016116537822950673,0.02446322999469922,-0.009934006903958365,0.006428033776826102,0.0032874927968225905,-0.019563547099531845,0.005711163237251399,-0.009327272403994235
CML38,0.005954667991799529,0.007238653131699164,-0.004200844969618447,-0.0012424516262076238,0.006652710750544175,0.006534880950142726,1.0,0.010187396706481411,0.02008409435794308,-0.004913733246840828,0.014678607571257633,0.0018819156003169967,0.010400534894363407,0.009251140068626313,0.0031099726534239733,0.011447521738590056,0.0139378309086984,0.0030490326665995474,0.0026542697962067085,0.003143556511181446,-0.00702889864084824,0.007677357853380068,0.002330220510511878,0.07591016503849182,-0.006606097477059495
CML42,0.004070137270709975,0.013607688279074909,-0.003146290579056133,0.010606393753437192,-0.004632913242120411,-0.008592968782017249,0.010187396706481411,1.0,0.006426711757879934,0.01011758060100028,0.01354894160181802,0.008379791489760598,0.0064338454295569236,0.006319631647365652,0.0030178362855505006,0.008683999758081859,0.014656136629954753,0.02744949899472964,0.005430878628224728,0.00046411966799277983,0.010672053086780032,0.01872980378270675,0.011490985657737441,-0.0007241545787501482,-0.00291779036686518
CML24,0.008238823731837276,0.0022551995572490896,0.0032073760875978162,0.009953845498007157,0.00513965017224825,0.007101739135960129,0.02008409435794308,0.006426711757879934,1.0,0.015651133315460013,0.01628377046622223,0.013502035648497654,0.021856053397292387,0.01347558769635413,0.0009488420090120234,0.003963717195791303,0.019784015089932452,-0.0023288789430875347,-6.845059485236865e-05,-0.0025608642297881914,0.0022018948290672864,-0.004258648969962086,0.00362515676914418,0.01193640193232044,0.006762198534341402
CaM7,0.0025043492069371166,0.003007158068152729,0.006505557022649956,0.002054936050455466,0.00033463066823382335,-0.0018060071383376554,-0.004913733246840828,0.01011758060100028,0.015651133315460013,1.0,0.02300504325972897,0.027489089455995337,0.008783563541001274,0.0022873784295406843,-0.002273085568571568,0.002010289449917384,0.04858934298849797,0.01023116114191827,0.009008255469643931,-0.0008106655060349106,0.00035867960772313433,0.003134856933149161,0.0072282228576951305,0.004330865224461699,-0.0030774068170055548
CaM3,0.004618575705435241,-0.0019562064340968117,0.009763187642563056,0.009638574219255163,0.0043560459782518435,-0.0059060928100988465,0.014678607571257633,0.01354894160181802,0.01628377046622223,0.02300504325972897,1.0,0.01913007430499187,0.014514273812203837,0.01196045537566534,-0.0055279729084251805,0.004710082677288469,0.08484849169160444,0.0033601354649886836,-0.0044206017673953405,0.004574906799443838,-0.005774718278263201,-0.003750877310966848,0.012111732673706677,0.027455725267392147,-0.00564988819851218
CDPK3,0.008327217350250202,0.007831428010023041,0.007349206588684855,0.00903195705659204,0.001852630946229414,0.0023545369742302927,0.0018819156003169967,0.008379791489760598,0.013502035648497654,0.027489089455995337,0.01913007430499187,1.0,0.006512463534263947,-0.002952524791700642,0.0026990248282159576,0.013330025598051845,0.029768415957739377,0.016972765404413823,-0.003077926365773717,0.005236890774645167,0.013742200754471133,-0.008882090042825438,0.019622514064549644,0.011889561260280663,0.0005108202921332862
CDPK4,0.007574683889506664,-0.002598198979991174,0.002727097763268476,0.0106394515631372,0.0034132175538830888,0.005972532671958503,0.010400534894363407,0.0064338454295569236,0.021856053397292387,0.008783563541001274,0.014514273812203837,0.006512463534263947,1.0,0.007720180483676355,-0.007439473495732637,0.0079173322270634,0.023744739503442004,0.007907245025894164,0.0013328120472273662,0.0197270015341151,0.0022995540503487864,-0.0022305589867572303,0.0032257551961464245,-0.0014641972764616892,0.00357331757048592
CAX3,0.0021928867547483535,0.007606232813905223,-0.005899311871102583,0.011941175486068276,0.00825875988588394,-0.007858407744054864,0.009251140068626313,0.006319631647365652,0.01347558769635413,0.0022873784295406843,0.01196045537566534,-0.002952524791700642,0.007720180483676355,1.0,-0.0009900756875132772,0.0010999725154179235,-0.0008597467960200738,0.012422009408721063,-0.005087083108064178,0.008943260375025954,-0.00429479839603605,0.0078710120355879,0.02093034984015039,-0.0012760915668382038,0.006733565911853117
NRT2.1,-0.0011476244566696419,0.015201384894616273,-0.003977461884221718,0.007328472898338737,0.007011918922861599,-0.0030115649797566456,0.0031099726534239733,0.0030178362855505006,0.0009488420090120234,-0.002273085568571568,-0.0055279729084251805,0.0026990248282159576,-0.007439473495732637,-0.0009900756875132772,1.0,0.008071088518704354,0.0026194781890758172,0.02132477243274264,-0.003537527497865806,-0.00394790885708229,0.003816310873623674,-0.003812349001759426,0.019249387380288873,-0.00036484847089815177,-0.0016857313460569103
SOS1,0.005147650847085913,-0.0013592624531882321,0.008903587369515078,0.01819001409760342,0.015482739893170854,0.0066654861473541055,0.011447521738590056,0.008683999758081859,0.003963717195791303,0.002010289449917384,0.004710082677288469,0.013330025598051845,0.0079173322270634,0.0010999725154179235,0.008071088518704354,1.0,0.004465923485013607,0.0317208517012743,0.003185710504177277,0.005018124826970148,-0.0016250251525647824,-0.000704419637082757,0.016715694944027946,0.0019468640906414808,0.0010671022241876941
ANNAT1,0.013805568562484542,0.01431429418062466,0.003917516407916866,0.00802095976128115,0.00677874345116469,-0.013384531295369574,0.0139378309086984,0.014656136629954753,0.019784015089932452,0.04858934298849797,0.08484849169160444,0.029768415957739377,0.023744739503442004,-0.0008597467960200738,0.0026194781890758172,0.004465923485013607,1.0,0.00613943171704954,-6.237685155339068e-05,0.003045416381194672,-0.008641405002008008,-0.0021198919083027464,0.015562694717559446,0.021683643559972484,-0.004596639336682746
AKT1,0.011750644913225815,0.015671165126778554,-0.0006885228575526947,0.055001507351844156,0.02582024085484232,-0.016116537822950673,0.0030490326665995474,0.02744949899472964,-0.0023288789430875347,0.01023116114191827,0.0033601354649886836,0.016972765404413823,0.007907245025894164,0.012422009408721063,0.02132477243274264,0.0317208517012743,0.00613943171704954,1.0,-0.013159937519599006,0.023908664565202544,-0.0011241893364284112,-0.0013195694268846585,0.07668058505130235,0.002721858190173021,0.001168520078420259
AKT2,0.0019343495148591331,0.004862916867041918,0.0002656919301767041,0.0056946823028171485,0.008328853240975044,0.02446322999469922,0.0026542697962067085,0.005430878628224728,-6.845059485236865e-05,0.009008255469643931,-0.0044206017673953405,-0.003077926365773717,0.0013328120472273662,-0.005087083108064178,-0.003537527497865806,0.003185710504177277,-6.237685155339068e-05,-0.013159937519599006,1.0,-0.006209095838642127,0.007577357489954249,0.0024293006239649285,-0.012755502080832532,-0.002406224377105024,-0.0018240515013060834
GORK,0.009891957000727696,-0.00019903982477098204,-0.002829751781919824,0.006576569523934313,0.0231038454939139,-0.009934006903958365,0.003143556511181446,0.00046411966799277983,-0.0025608642297881914,-0.0008106655060349106,0.004574906799443838,0.005236890774645167,0.0197270015341151,0.008943260375025954,-0.00394790885708229,0.005018124826970148,0.003045416381194672,0.023908664565202544,-0.006209095838642127,1.0,-0.00595851448970001,0.004680969204863153,0.01702819700388529,-0.0011167214247839036,0.010352054170564597
KAT1,-0.0010734924130912343,-0.0018322939608998272,-0.0001189904426532998,0.0006289237582087241,0.004234867118366184,0.006428033776826102,-0.00702889864084824,0.010672053086780032,0.0022018948290672864,0.00035867960772313433,-0.005774718278263201,0.013742200754471133,0.0022995540503487864,-0.00429479839603605,0.003816310873623674,-0.0016250251525647824,-0.008641405002008008,-0.0011241893364284112,0.007577357489954249,-0.00595851448970001,1.0,0.03587272404967192,-0.0038872352145760485,-0.0018573146559491445,0.011949848724663079
KAT2,-0.0019619663560221236,0.0054867669779203945,0.0058231677629178025,-0.006963162306189207,-0.003237657998486633,0.0032874927968225905,0.007677357853380068,0.01872980378270675,-0.004258648969962086,0.003134856933149161,-0.003750877310966848,-0.008882090042825438,-0.0022305589867572303,0.0078710120355879,-0.003812349001759426,-0.000704419637082757,-0.0021198919083027464,-0.0013195694268846585,0.0024293006239649285,0.004680969204863153,0.03587272404967192,1.0,-0.003267406557308658,-0.0007503260853741193,0.02775119662942028
KC1,0.01859450238797398,0.017771320815700063,-0.0005715953943609627,0.04065370437966176,0.022534765814813663,-0.019563547099531845,0.002330220510511878,0.011490985657737441,0.00362515676914418,0.0072282228576951305,0.012111732673706677,0.019622514064549644,0.0032257551961464245,0.02093034984015039,0.019249387380288873,0.016715694944027946,0.015562694717559446,0.07668058505130235,-0.012755502080832532,0.01702819700388529,-0.0038872352145760485,-0.003267406557308658,1.0,0.003020619591327611,-0.005424630204532024
HSP22.0,0.018988447163809888,-0.0012711875226792484,-0.0014194663327481642,0.0017922260265765062,-0.00011969635323300441,0.005711163237251399,0.07591016503849182,-0.0007241545787501482,0.01193640193232044,0.004330865224461699,0.027455725267392147,0.011889561260280663,-0.0014641972764616892,-0.0012760915668382038,-0.00036484847089815177,0.0019468640906414808,0.021683643559972484,0.002721858190173021,-0.002406224377105024,-0.0011167214247839036,-0.0018573146559491445,-0.0007503260853741193,0.003020619591327611,1.0,-0.0006806949918706041
TRAF-like,-0.003782450016298477,0.0008483863042089775,0.0025626971824534795,0.002559709285118787,-0.002858778537402582,-0.009327272403994235,-0.006606097477059495,-0.00291779036686518,0.006762198534341402,-0.0030774068170055548,-0.00564988819851218,0.0005108202921332862,0.00357331757048592,0.006733565911853117,-0.0016857313460569103,0.0010671022241876941,-0.004596639336682746,0.001168520078420259,-0.0018240515013060834,0.010352054170564597,0.011949848724663079,0.02775119662942028,-0.005424630204532024,-0.0006806949918706041,1.0
