"","Epidermal","Guard","Meristematic","Mesophyll","Stele"
"Epidermal",77.8370560379688,83.404524374033,83.8785002388677,74.0569408745775,80.0886279184197
"Guard",81.6553447823398,86.8932883279931,88.033476469416,78.1176784546286,84.5576565714441
"Meristematic",85.27485873563,91.0533356532362,91.9954440345436,81.2520330065415,87.852895615418
"Mesophyll",77.9846124714556,83.5959124579027,83.7773826132864,74.2590819425806,80.1978944588381
"Stele",81.6294562491325,87.585089682173,87.9230948680448,77.6697673641244,84.0759819852686
