source_cell_type,target_cell_type,source_organ_proxy,target_organ_proxy,dominant_signal,ca2_strength,k_strength,total_strength,ca2_k_ratio,top_source_genes,top_target_genes,strongest_coexpr_in_source
Mesophyll,Meristematic,Cotyledon/leaf,Root tip,Ca2+,10.04,0.74,10.78,13.6,"CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)","CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Meristematic,Stele,Root tip,Root/hypocotyl (vascular),Ca2+,9.81,0.95,10.76,10.3,"CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)","CIPK1(0.40), CIPK9(0.40), AKT1(0.29)",CML24_Meristematic~CAX3 (r=0.136)
Stele,Guard,Root/hypocotyl (vascular),Cotyledon/leaf (stomata),Ca2+,9.51,1.12,10.63,8.5,"CIPK1(0.40), CIPK9(0.40), AKT1(0.29)","CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)",CML42_Stele~NRT2.1 (r=0.079)
Stele,Meristematic,Root/hypocotyl (vascular),Root tip,Ca2+,9.39,1.14,10.53,8.2,"CIPK1(0.40), CIPK9(0.40), AKT1(0.29)","CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)",CML42_Stele~NRT2.1 (r=0.079)
Epidermal,Mesophyll,All organs (surface),Cotyledon/leaf,Ca2+,9.23,1.09,10.31,8.5,"CIPK1(0.46), CIPK9(0.38), AKT1(0.37)","CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)",CML38_Epidermal~HSP22.0 (r=0.126)
Meristematic,Mesophyll,Root tip,Cotyledon/leaf,Ca2+,9.43,0.8,10.23,11.8,"CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)","CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)",CML24_Meristematic~CAX3 (r=0.136)
Mesophyll,Epidermal,Cotyledon/leaf,All organs (surface),Ca2+,9.25,0.84,10.09,11.0,"CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)","CIPK1(0.46), CIPK9(0.38), AKT1(0.37)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Mesophyll,Stele,Cotyledon/leaf,Root/hypocotyl (vascular),Ca2+,9.15,0.8,9.95,11.5,"CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)","CIPK1(0.40), CIPK9(0.40), AKT1(0.29)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Stele,Epidermal,Root/hypocotyl (vascular),All organs (surface),Ca2+,8.62,1.28,9.9,6.7,"CIPK1(0.40), CIPK9(0.40), AKT1(0.29)","CIPK1(0.46), CIPK9(0.38), AKT1(0.37)",CML42_Stele~NRT2.1 (r=0.079)
Stele,Stele,Root/hypocotyl (vascular),Root/hypocotyl (vascular),Ca2+,8.54,1.25,9.79,6.9,"CIPK1(0.40), CIPK9(0.40), AKT1(0.29)","CIPK1(0.40), CIPK9(0.40), AKT1(0.29)",CML42_Stele~NRT2.1 (r=0.079)
Mesophyll,Mesophyll,Cotyledon/leaf,Cotyledon/leaf,Ca2+,8.8,0.67,9.47,13.1,"CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)","CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Stele,Mesophyll,Root/hypocotyl (vascular),Cotyledon/leaf,Ca2+,8.25,1.05,9.3,7.9,"CIPK1(0.40), CIPK9(0.40), AKT1(0.29)","CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)",CML42_Stele~NRT2.1 (r=0.079)
