source_cell_type,target_cell_type,source_organ_proxy,target_organ_proxy,dominant_signal,ca2_strength,k_strength,total_strength,ca2_k_ratio,top_source_genes,top_target_genes,strongest_coexpr_in_source
Guard,Meristematic,Cotyledon/leaf (stomata),Root tip,Ca2+,12.14,0.86,12.99,14.2,"CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)","CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)",CBL1_Guard~ANNAT1 (r=0.896)
Guard,Guard,Cotyledon/leaf (stomata),Cotyledon/leaf (stomata),Ca2+,12.1,0.81,12.91,14.9,"CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)","CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)",CBL1_Guard~ANNAT1 (r=0.896)
Guard,Epidermal,Cotyledon/leaf (stomata),All organs (surface),Ca2+,11.2,0.97,12.17,11.5,"CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)","CIPK1(0.46), CIPK9(0.38), AKT1(0.37)",CBL1_Guard~ANNAT1 (r=0.896)
Guard,Stele,Cotyledon/leaf (stomata),Root/hypocotyl (vascular),Ca2+,11.09,0.92,12.01,12.0,"CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)","CIPK1(0.40), CIPK9(0.40), AKT1(0.29)",CBL1_Guard~ANNAT1 (r=0.896)
Meristematic,Guard,Root tip,Cotyledon/leaf (stomata),Ca2+,11.05,0.86,11.91,12.9,"CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)","CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)",CML24_Meristematic~CAX3 (r=0.136)
Epidermal,Guard,All organs (surface),Cotyledon/leaf (stomata),Ca2+,10.6,1.16,11.76,9.2,"CIPK1(0.46), CIPK9(0.38), AKT1(0.37)","CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)",CML38_Epidermal~HSP22.0 (r=0.126)
Epidermal,Meristematic,All organs (surface),Root tip,Ca2+,10.48,1.19,11.66,8.8,"CIPK1(0.46), CIPK9(0.38), AKT1(0.37)","CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)",CML38_Epidermal~HSP22.0 (r=0.126)
Meristematic,Meristematic,Root tip,Root tip,Ca2+,10.76,0.88,11.64,12.2,"CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)","CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)",CML24_Meristematic~CAX3 (r=0.136)
Guard,Mesophyll,Cotyledon/leaf (stomata),Cotyledon/leaf,Ca2+,10.6,0.78,11.38,13.5,"CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)","CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)",CBL1_Guard~ANNAT1 (r=0.896)
Epidermal,Epidermal,All organs (surface),All organs (surface),Ca2+,9.7,1.35,11.05,7.2,"CIPK1(0.46), CIPK9(0.38), AKT1(0.37)","CIPK1(0.46), CIPK9(0.38), AKT1(0.37)",CML38_Epidermal~HSP22.0 (r=0.126)
Mesophyll,Guard,Cotyledon/leaf,Cotyledon/leaf (stomata),Ca2+,10.25,0.72,10.97,14.3,"CIPK9(0.48), CIPK1(0.42), CIPK23(0.23)","CIPK9(0.34), CIPK1(0.34), CIPK23(0.33)",CaM3_Mesophyll~ANNAT1 (r=0.096)
Meristematic,Epidermal,Root tip,All organs (surface),Ca2+,9.93,1.0,10.93,9.9,"CIPK1(0.42), CIPK9(0.39), CIPK23(0.27)","CIPK1(0.46), CIPK9(0.38), AKT1(0.37)",CML24_Meristematic~CAX3 (r=0.136)
Epidermal,Stele,All organs (surface),Root/hypocotyl (vascular),Ca2+,9.57,1.28,10.85,7.5,"CIPK1(0.46), CIPK9(0.38), AKT1(0.37)","CIPK1(0.40), CIPK9(0.40), AKT1(0.29)",CML38_Epidermal~HSP22.0 (r=0.126)
