marker,gene,organ,celltype,mean_expr,pct_expr
RBCS,AT2G34420,Leaf,Epidermal,3.167452044188702,93.37596838766703
RBCS,AT2G34420,Leaf,Guard,3.4577814726184424,97.75280898876404
RBCS,AT2G34420,Leaf,Meristematic,3.2263064120123235,94.32142857142857
RBCS,AT2G34420,Leaf,Mesophyll,3.576821002995333,96.61583734617443
RBCS,AT2G34420,Leaf,Stele,3.329049369580415,95.56603773584905
COR15A,AT5G38420,Leaf,Epidermal,0.8086603978273655,35.475484843758124
COR15A,AT5G38420,Leaf,Guard,1.1735172785328627,53.93258426966292
COR15A,AT5G38420,Leaf,Meristematic,0.9092364558453869,43.785714285714285
COR15A,AT5G38420,Leaf,Mesophyll,1.2896256181772519,53.4242910647405
COR15A,AT5G38420,Leaf,Stele,0.9542125932677901,42.617924528301884
ATHB-1,AT5G57390,Hypocotyl,Epidermal,0.009360478988953933,0.4627463214267145
ATHB-1,AT5G57390,Hypocotyl,Guard,0.020150877337050455,1.1235955056179776
ATHB-1,AT5G57390,Hypocotyl,Meristematic,0.03192933284941699,1.7857142857142856
ATHB-1,AT5G57390,Hypocotyl,Mesophyll,0.009690128294242753,0.5818619582664527
ATHB-1,AT5G57390,Hypocotyl,Stele,0.013275890544153422,0.6603773584905661
ATHB-7,AT2G18380,Hypocotyl,Epidermal,0.0030026325534863543,0.14038371548900327
ATHB-7,AT2G18380,Hypocotyl,Guard,0.0,0.0
ATHB-7,AT2G18380,Hypocotyl,Meristematic,0.0035684950338760527,0.2142857142857143
ATHB-7,AT2G18380,Hypocotyl,Mesophyll,0.0032863160684365794,0.18057784911717495
ATHB-7,AT2G18380,Hypocotyl,Stele,0.004736804696615718,0.25943396226415094
LEC2,AT3G15670,Seed,Epidermal,8.477971823016768e-05,0.0051993968699630844
LEC2,AT3G15670,Seed,Guard,0.0,0.0
LEC2,AT3G15670,Seed,Meristematic,0.005561243665917491,0.25
LEC2,AT3G15670,Seed,Mesophyll,0.00024173052632518445,0.013376136971642588
LEC2,AT3G15670,Seed,Stele,0.0,0.0
2S3,AT2G41730,Seed,Epidermal,0.008259126339704338,0.4003535589871575
2S3,AT2G41730,Seed,Guard,0.0,0.0
2S3,AT2G41730,Seed,Meristematic,0.011633160887426872,0.6428571428571428
2S3,AT2G41730,Seed,Mesophyll,0.004895825545703039,0.3009630818619583
2S3,AT2G41730,Seed,Stele,0.004645078811106927,0.2830188679245283
KAT1_gc,AT5G60900,Guard,Epidermal,0.005696199786429266,0.2651692403681173
KAT1_gc,AT5G60900,Guard,Guard,0.0,0.0
KAT1_gc,AT5G60900,Guard,Meristematic,0.005243563594985736,0.2857142857142857
KAT1_gc,AT5G60900,Guard,Mesophyll,0.007814665700429296,0.40128410914927765
KAT1_gc,AT5G60900,Guard,Stele,0.00688130287560438,0.3537735849056604
MYB60,AT3G15730,Guard,Epidermal,0.4651939835621642,21.587895804086727
MYB60,AT3G15730,Guard,Guard,0.43309585540756534,24.719101123595504
MYB60,AT3G15730,Guard,Meristematic,0.4749179910325934,26.142857142857146
MYB60,AT3G15730,Guard,Mesophyll,0.4012356184238657,20.498929909042268
MYB60,AT3G15730,Guard,Stele,0.4354072548228293,21.25
