marker,gene,organ,celltype,mean_expr,pct_expr
SCR,AT3G54220,Root,Epidermal,0.055299758264811066,2.8232725003899546
SCR,AT3G54220,Root,Guard,0.042783394965540726,3.3707865168539324
SCR,AT3G54220,Root,Meristematic,0.054693235249101864,3.571428571428571
SCR,AT3G54220,Root,Mesophyll,0.06546732699036063,3.6383092562867843
SCR,AT3G54220,Root,Stele,0.05135757418961252,2.8537735849056602
PLT1,AT1G79560,Root,Epidermal,0.12467211439020465,6.239276243955701
PLT1,AT1G79560,Root,Guard,0.18343698984974718,10.112359550561797
PLT1,AT1G79560,Root,Meristematic,0.17533502632430226,10.535714285714286
PLT1,AT1G79560,Root,Mesophyll,0.14783541597767663,7.771535580524344
PLT1,AT1G79560,Root,Stele,0.1373467454885282,7.169811320754717
PLT2,AT4G03270,Root,Epidermal,0.015595605508915686,0.8163053085842041
PLT2,AT4G03270,Root,Guard,0.025918377524935643,1.1235955056179776
PLT2,AT4G03270,Root,Meristematic,0.0154911503296518,1.0
PLT2,AT4G03270,Root,Mesophyll,0.009791828778817707,0.5952380952380952
PLT2,AT4G03270,Root,Stele,0.01572704103823705,0.8254716981132075
WOL,AT3G18280,Root,Epidermal,0.009444435749296754,0.4783445120366037
WOL,AT3G18280,Root,Guard,0.0,0.0
WOL,AT3G18280,Root,Meristematic,0.01157668370995636,0.7857142857142858
WOL,AT3G18280,Root,Mesophyll,0.021593747079910332,1.2172284644194757
WOL,AT3G18280,Root,Stele,0.015879966708604903,0.8254716981132075
CPC,AT2G28470,Root,Epidermal,0.43272470946501,19.362553943742526
CPC,AT2G28470,Root,Guard,0.2116479527890411,12.359550561797752
CPC,AT2G28470,Root,Meristematic,0.3966561543295258,21.321428571428573
CPC,AT2G28470,Root,Mesophyll,0.2711089928975188,14.111824505082932
CPC,AT2G28470,Root,Stele,0.33482494509698935,16.43867924528302
LHCB1.1,AT1G01060,Leaf,Epidermal,0.003203467955101876,0.17158009670878177
LHCB1.1,AT1G01060,Leaf,Guard,0.0,0.0
LHCB1.1,AT1G01060,Leaf,Meristematic,0.009961126801490985,0.5714285714285714
LHCB1.1,AT1G01060,Leaf,Mesophyll,0.0036671153529953763,0.19395398608881756
LHCB1.1,AT1G01060,Leaf,Stele,0.003625776596311428,0.18867924528301888
FSD1,AT3G54890,Leaf,Epidermal,1.993147992917435,72.63037487651432
FSD1,AT3G54890,Leaf,Guard,2.3150091943171422,83.14606741573034
FSD1,AT3G54890,Leaf,Meristematic,2.1167219969831192,78.96428571428571
FSD1,AT3G54890,Leaf,Mesophyll,2.558870774864991,84.52380952380952
FSD1,AT3G54890,Leaf,Stele,2.2068762728931697,79.22169811320755
